"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill"
"1","10",4,"forced",5,2,"learn",7,5,0,0,0.1,0.396,0,1,"R",2,0,1,1,0,0,0,"R",1,1,0,7,2,0.296,"2","1","rep/rep/rep","0",5,1,"1/0/0",1,"1/0/1",1,NA
"2","10",4,"forced",5,3,"learn",4,3,0,0,0.5,0.719,0,1,"L",2,1,0,1,1,1,1,"L",2,1,1,4,3,0.219,"6","4","sw/sw/sw","6",7,2,"1/1/0",0,"1/1/0",1,1
"3","10",4,"forced",5,4,"learn",6,5,0,1,0.8,0.762,0,1,"R",1,1,1,1,1,1,1,"R",1,1,1,6,4,-0.038,"7","6","sw/sw/sw","6",4,2,"1/1/0",0,"1/1/0",1,1
"4","10",4,"forced",5,5,"learn",8,7,0,1,0.3,0.264,0,1,"R",2,0,1,1,0,1,1,"R",2,1,1,8,5,-0.036,"2","2","rep/sw/sw","4",6,1,"1/1/0",0,"1/1/0",1,1
"5","10",4,"forced",5,6,"learn",4,3,0,1,1,0.969,0,2,"L",2,1,0,1,1,0,1,"L",2,1,1,4,6,-0.031,"10","8","sw/rep/sw","6",8,3,"1/1/0",0,"1/1/0",1,1
"6","10",4,"forced",5,7,"learn",5,5,1,0,1,0.867,0,2,"R",1,1,1,1,1,1,1,"R",1,1,1,5,7,-0.133,"8","8","sw/sw/sw","6",4,1,"1/1/1",1,"1/1/1",1,1
"7","10",4,"forced",5,8,"learn",5,5,1,1,0.7,0.621,0,3,"R",1,0,0,0,0,0,0,"R",1,1,1,5,8,-0.079,"5","5","rep/rep/rep","0",5,0,"1/1/1",1,"1/1/1",1,1
"8","10",4,"forced",5,9,"learn",7,7,1,1,0.9,0.934,0,2,"R",2,0,1,1,0,1,1,"R",2,1,1,7,9,0.034,"9","7","rep/sw/sw","4",5,1,"1/1/1",1,"1/1/1",1,1
"9","10",4,"forced",5,10,"learn",2,2,1,1,1,1.011,0,1,"L",1,1,1,1,1,1,1,"L",1,1,1,2,10,0.0109999999999999,"10","8","sw/sw/sw","6",7,1,"1/1/1",1,"1/1/1",1,1
"10","10",4,"forced",5,11,"learn",7,7,1,1,0.5,0.578,0,3,"R",2,1,1,1,1,1,1,"R",2,1,1,7,11,0.078,"4","4","sw/sw/sw","6",2,1,"1/1/1",1,"1/1/1",1,1
