rt,responses,time_elapsed,subject,prolificID,demoID,trialType,question_order,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy
12431,"{""Q0"":""ms1000241""}",12468,HierDy98qxm27z,3eqkm6eej0,ms1000241,,,,,,,,,,,,,
17255,,29732,HierDy98qxm27z,3eqkm6eej0,ms1000241,,,,,,,,,,,,,
,,32088,HierDy98qxm27z,3eqkm6eej0,ms1000241,fullscreen,,,,,,,,,,,,
15302,"{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""male""}",47403,HierDy98qxm27z,3eqkm6eej0,ms1000241,,"[0,1,2]",,,,,,,,,,,
3780,"{""Q0"":""19""}",51201,HierDy98qxm27z,3eqkm6eej0,ms1000241,,,,,,,,,,,,,
175886,,227098,HierDy98qxm27z,3eqkm6eej0,ms1000241,,,,,,,,,,,,,
908,,228014,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,70,img/motor_4.png,70,motor,4,1,1,0,0,,
null,,228130,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_4.png,70,motor,,,,,,,
499,,228638,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,72,img/motor_5.png,72,motor,5,2,1,0,0,,
null,,228752,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_5.png,72,motor,,,,,,,
598,,229358,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,83,img/motor_2.png,83,motor,2,3,1,0,0,,
null,,229472,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_2.png,83,motor,,,,,,,
668,,230156,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,75,img/motor_7.png,75,motor,7,4,1,0,0,,
null,,230264,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_7.png,75,motor,,,,,,,
581,,230853,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,72,img/motor_5.png,72,motor,5,5,1,0,0,,
null,,230967,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_5.png,72,motor,,,,,,,
493,,231469,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,83,img/motor_1.png,65,motor,1,6,0,1,0,,
1,,231474,HierDy98qxm27z,3eqkm6eej0,ms1000241,motorRepeat,,65,img/motor_1.png,65,motor,1,6,1,0,0,,
null,,231582,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_1.png,65,motor,,,,,,,
1512,,233102,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,68,img/motor_3.png,68,motor,3,7,1,0,0,,
null,,233217,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_3.png,68,motor,,,,,,,
773,,234005,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,74,img/motor_6.png,74,motor,6,8,1,0,0,,
null,,234120,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_6.png,74,motor,,,,,,,
415,,234548,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,72,img/motor_5.png,72,motor,5,9,1,0,0,,
null,,234657,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_5.png,72,motor,,,,,,,
477,,235142,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,83,img/motor_2.png,83,motor,2,10,1,0,0,,
null,,235249,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_2.png,83,motor,,,,,,,
420,,235678,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,68,img/motor_3.png,68,motor,3,11,1,0,0,,
null,,235785,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_3.png,68,motor,,,,,,,
461,,236253,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,76,img/motor_8.png,76,motor,8,12,1,0,0,,
null,,236362,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_8.png,76,motor,,,,,,,
604,,236974,HierDy98qxm27z,3eqkm6eej0,ms1000241,motor,,74,img/motor_6.png,74,motor,6,13,1,0,0,,
null,,237082,HierDy98qxm27z,3eqkm6eej0,ms1000241,iti,,null,img/motor_6.png,74,motor,,,,,,,
