"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"6473681","{""Q0"":""msl000300""}","6473709","HierDyac0s1z15","2ufgfxgetv","msl000300","","","","","","","","","","","","",""
"1496","","6475219","HierDyac0s1z15","2ufgfxgetv","msl000300","","","","","","","","","","","","",""
"","","6476935","HierDyac0s1z15","2ufgfxgetv","msl000300","fullscreen","","","","","","","","","","","",""
"12417","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""male""}","6489367","HierDyac0s1z15","2ufgfxgetv","msl000300","","[0,1,2]","","","","","","","","","","",""
"6510","{""Q0"":""20""}","6495894","HierDyac0s1z15","2ufgfxgetv","msl000300","","","","","","","","","","","","",""
"153222","","6649125","HierDyac0s1z15","2ufgfxgetv","msl000300","","","","","","","","","","","","",""
"1343","","6650483","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","68","img/motor_3.png","68","motor","3","1","1","0","0","",""
"null","","6650599","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"749","","6651363","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","70","img/motor_4.png","70","motor","4","2","1","0","0","",""
"null","","6651480","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"868","","6652356","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","75","img/motor_7.png","75","motor","7","3","1","0","0","",""
"null","","6652464","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"916","","6653395","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","83","img/motor_2.png","83","motor","2","4","1","0","0","",""
"null","","6653505","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"924","","6654443","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","76","img/motor_8.png","76","motor","8","5","1","0","0","",""
"null","","6654558","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"694","","6655261","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","75","img/motor_7.png","75","motor","7","6","1","0","0","",""
"null","","6655375","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"637","","6656021","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","76","img/motor_8.png","76","motor","8","7","1","0","0","",""
"null","","6656135","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"548","","6656692","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","75","img/motor_7.png","75","motor","7","8","1","0","0","",""
"null","","6656801","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"1012","","6657820","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","72","img/motor_5.png","72","motor","5","9","1","0","0","",""
"null","","6657929","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"637","","6658573","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","72","img/motor_5.png","72","motor","5","10","1","0","0","",""
