"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"24382","{""Q0"":""ms1000340""}","24423","HierDyzjgxa46w","luavm70zy3","ms1000340","","","","","","","","","","","","",""
"2603","","27039","HierDyzjgxa46w","luavm70zy3","ms1000340","","","","","","","","","","","","",""
"","","29599","HierDyzjgxa46w","luavm70zy3","ms1000340","fullscreen","","","","","","","","","","","",""
"13143","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""male""}","42754","HierDyzjgxa46w","luavm70zy3","ms1000340","","[0,1,2]","","","","","","","","","","",""
"4243","{""Q0"":""23""}","47009","HierDyzjgxa46w","luavm70zy3","ms1000340","","","","","","","","","","","","",""
"77114","","124137","HierDyzjgxa46w","luavm70zy3","ms1000340","","","","","","","","","","","","",""
"872","","125023","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","70","img/motor_4.png","70","motor","4","1","1","0","0","",""
"null","","125136","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"697","","125846","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","65","img/motor_1.png","65","motor","1","2","1","0","0","",""
"null","","125958","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"690","","126659","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","65","img/motor_1.png","65","motor","1","3","1","0","0","",""
"null","","126771","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"712","","127495","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","72","img/motor_5.png","72","motor","5","4","1","0","0","",""
"null","","127607","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"664","","128283","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","76","img/motor_8.png","76","motor","8","5","1","0","0","",""
"null","","128396","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"643","","129051","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","72","img/motor_5.png","72","motor","5","6","1","0","0","",""
"null","","129163","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"588","","129764","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","65","img/motor_1.png","65","motor","1","7","1","0","0","",""
"null","","129876","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"628","","130515","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","72","img/motor_5.png","72","motor","5","8","1","0","0","",""
"null","","130627","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"636","","131276","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","74","img/motor_6.png","74","motor","6","9","1","0","0","",""
"null","","131388","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"587","","131987","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","76","img/motor_8.png","76","motor","8","10","1","0","0","",""
"null","","132100","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"561","","132673","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","75","img/motor_7.png","75","motor","7","11","1","0","0","",""
"null","","132790","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"623","","133430","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","83","img/motor_2.png","83","motor","2","12","1","0","0","",""
"null","","133542","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"612","","134166","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","72","img/motor_5.png","72","motor","5","13","1","0","0","",""
"null","","134278","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"569","","134859","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","70","img/motor_4.png","70","motor","4","14","1","0","0","",""
"null","","134971","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"560","","135544","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","65","img/motor_1.png","65","motor","1","15","1","0","0","",""
"null","","135658","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"762","","136432","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","68","img/motor_3.png","68","motor","3","16","1","0","0","",""
"null","","136545","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"574","","137133","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","75","img/motor_7.png","75","motor","7","17","1","0","0","",""
"null","","137246","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"612","","137869","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","83","img/motor_2.png","83","motor","2","18","1","0","0","",""
"null","","137982","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"693","","138688","HierDyzjgxa46w","luavm70zy3","ms1000340","motor","","83","img/motor_2.png","83","motor","2","19","1","0","0","",""
"null","","138800","HierDyzjgxa46w","luavm70zy3","ms1000340","iti","","null","img/motor_2.png","83","motor","","","","","","",""
