"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"254775","{""Q0"":""msl000395""}","254815","HierDy9zct650c","mavjspfhsm","msl000395","","","","","","","","","","","","",""
"204291","","459122","HierDy9zct650c","mavjspfhsm","msl000395","","","","","","","","","","","","",""
"","","461543","HierDy9zct650c","mavjspfhsm","msl000395","fullscreen","","","","","","","","","","","",""
"9778","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""female""}","471332","HierDy9zct650c","mavjspfhsm","msl000395","","[0,1,2]","","","","","","","","","","",""
"3278","{""Q0"":""19""}","474625","HierDy9zct650c","mavjspfhsm","msl000395","","","","","","","","","","","","",""
"20554","","495191","HierDy9zct650c","mavjspfhsm","msl000395","","","","","","","","","","","","",""
"3212","","498415","HierDy9zct650c","mavjspfhsm","msl000395","motor","","75","img/motor_7.png","75","motor","7","1","1","0","0","",""
"null","","498528","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"768","","499307","HierDy9zct650c","mavjspfhsm","msl000395","motor","","76","img/motor_8.png","76","motor","8","2","1","0","0","",""
"null","","499420","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"739","","500171","HierDy9zct650c","mavjspfhsm","msl000395","motor","","72","img/motor_5.png","72","motor","5","3","1","0","0","",""
"null","","500283","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"636","","500932","HierDy9zct650c","mavjspfhsm","msl000395","motor","","74","img/motor_6.png","74","motor","6","4","1","0","0","",""
"null","","501044","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"650","","501705","HierDy9zct650c","mavjspfhsm","msl000395","motor","","76","img/motor_8.png","76","motor","8","5","1","0","0","",""
"null","","501817","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"558","","502388","HierDy9zct650c","mavjspfhsm","msl000395","motor","","75","img/motor_7.png","75","motor","7","6","1","0","0","",""
"null","","502501","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"498","","503010","HierDy9zct650c","mavjspfhsm","msl000395","motor","","72","img/motor_5.png","72","motor","5","7","1","0","0","",""
"null","","503123","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"446","","503581","HierDy9zct650c","mavjspfhsm","msl000395","motor","","74","img/motor_6.png","74","motor","6","8","1","0","0","",""
"null","","503694","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"609","","504314","HierDy9zct650c","mavjspfhsm","msl000395","motor","","65","img/motor_1.png","65","motor","1","9","1","0","0","",""
"null","","504427","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"486","","504923","HierDy9zct650c","mavjspfhsm","msl000395","motor","","83","img/motor_2.png","83","motor","2","10","1","0","0","",""
"null","","505036","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"582","","505631","HierDy9zct650c","mavjspfhsm","msl000395","motor","","72","img/motor_5.png","72","motor","5","11","1","0","0","",""
"null","","505744","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"657","","506412","HierDy9zct650c","mavjspfhsm","msl000395","motor","","83","img/motor_2.png","83","motor","2","12","1","0","0","",""
"null","","506524","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"740","","507276","HierDy9zct650c","mavjspfhsm","msl000395","motor","","75","img/motor_7.png","75","motor","7","13","1","0","0","",""
"null","","507389","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"698","","508098","HierDy9zct650c","mavjspfhsm","msl000395","motor","","70","img/motor_4.png","70","motor","4","14","1","0","0","",""
"null","","508211","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"557","","508780","HierDy9zct650c","mavjspfhsm","msl000395","motor","","70","img/motor_4.png","70","motor","4","15","1","0","0","",""
"null","","508892","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"533","","509437","HierDy9zct650c","mavjspfhsm","msl000395","motor","","65","img/motor_1.png","65","motor","1","16","1","0","0","",""
"null","","509549","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"1251","","510812","HierDy9zct650c","mavjspfhsm","msl000395","motor","","65","img/motor_1.png","65","motor","1","17","1","0","0","",""
"null","","510924","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"729","","511664","HierDy9zct650c","mavjspfhsm","msl000395","motor","","74","img/motor_6.png","74","motor","6","18","1","0","0","",""
"null","","511776","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"479","","512267","HierDy9zct650c","mavjspfhsm","msl000395","motor","","76","img/motor_8.png","76","motor","8","19","1","0","0","",""
"null","","512379","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"556","","512946","HierDy9zct650c","mavjspfhsm","msl000395","motor","","83","img/motor_2.png","83","motor","2","20","1","0","0","",""
"null","","513059","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"516","","513586","HierDy9zct650c","mavjspfhsm","msl000395","motor","","76","img/motor_8.png","76","motor","8","21","1","0","0","",""
"null","","513698","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"541","","514250","HierDy9zct650c","mavjspfhsm","msl000395","motor","","76","img/motor_8.png","76","motor","8","22","1","0","0","",""
"null","","514362","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"579","","514953","HierDy9zct650c","mavjspfhsm","msl000395","motor","","72","img/motor_5.png","72","motor","5","23","1","0","0","",""
"null","","515064","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"496","","515573","HierDy9zct650c","mavjspfhsm","msl000395","motor","","68","img/motor_2.png","83","motor","2","24","0","1","0","",""
"258","","515844","HierDy9zct650c","mavjspfhsm","msl000395","motorRepeat","","83","img/motor_2.png","83","motor","2","24","1","0","0","",""
"null","","515956","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"913","","516881","HierDy9zct650c","mavjspfhsm","msl000395","motor","","75","img/motor_7.png","75","motor","7","25","1","0","0","",""
"null","","516993","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"420","","517426","HierDy9zct650c","mavjspfhsm","msl000395","motor","","74","img/motor_6.png","74","motor","6","26","1","0","0","",""
"null","","517538","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"448","","517997","HierDy9zct650c","mavjspfhsm","msl000395","motor","","74","img/motor_6.png","74","motor","6","27","1","0","0","",""
"null","","518110","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"542","","518667","HierDy9zct650c","mavjspfhsm","msl000395","motor","","72","img/motor_5.png","72","motor","5","28","1","0","0","",""
"null","","518780","HierDy9zct650c","mavjspfhsm","msl000395","iti","","null","img/motor_5.png","72","motor","","","","","","",""
