"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"106207","{""Q0"":""ms1000405""}","107006","HierDyu6st8fl4","eezvm9yczb","ms1000405","","","","","","","","","","","","",""
"1267","","108287","HierDyu6st8fl4","eezvm9yczb","ms1000405","","","","","","","","","","","","",""
"","","110579","HierDyu6st8fl4","eezvm9yczb","ms1000405","fullscreen","","","","","","","","","","","",""
"15046","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""female""}","125638","HierDyu6st8fl4","eezvm9yczb","ms1000405","","[0,1,2]","","","","","","","","","","",""
"5380","{""Q0"":""19""}","131036","HierDyu6st8fl4","eezvm9yczb","ms1000405","","","","","","","","","","","","",""
"108636","","239685","HierDyu6st8fl4","eezvm9yczb","ms1000405","","","","","","","","","","","","",""
"1254","","240949","HierDyu6st8fl4","eezvm9yczb","ms1000405","motor","","76","img/motor_8.png","76","motor","8","1","1","0","0","",""
"null","","241065","HierDyu6st8fl4","eezvm9yczb","ms1000405","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"1115","","242188","HierDyu6st8fl4","eezvm9yczb","ms1000405","motor","","75","img/motor_7.png","75","motor","7","2","1","0","0","",""
"null","","242297","HierDyu6st8fl4","eezvm9yczb","ms1000405","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"604","","242908","HierDyu6st8fl4","eezvm9yczb","ms1000405","motor","","72","img/motor_5.png","72","motor","5","3","1","0","0","",""
"null","","243016","HierDyu6st8fl4","eezvm9yczb","ms1000405","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"468","","243492","HierDyu6st8fl4","eezvm9yczb","ms1000405","motor","","76","img/motor_8.png","76","motor","8","4","1","0","0","",""
"null","","243600","HierDyu6st8fl4","eezvm9yczb","ms1000405","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"396","","244003","HierDyu6st8fl4","eezvm9yczb","ms1000405","motor","","72","img/motor_5.png","72","motor","5","5","1","0","0","",""
"null","","244112","HierDyu6st8fl4","eezvm9yczb","ms1000405","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"796","","244915","HierDyu6st8fl4","eezvm9yczb","ms1000405","motor","","83","img/motor_3.png","68","motor","3","6","0","1","0","",""
"392","","245316","HierDyu6st8fl4","eezvm9yczb","ms1000405","motorRepeat","","68","img/motor_3.png","68","motor","3","6","1","0","0","",""
"null","","245430","HierDyu6st8fl4","eezvm9yczb","ms1000405","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"628","","246068","HierDyu6st8fl4","eezvm9yczb","ms1000405","motor","","68","img/motor_3.png","68","motor","3","7","1","0","0","",""
"null","","246182","HierDyu6st8fl4","eezvm9yczb","ms1000405","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"597","","246787","HierDyu6st8fl4","eezvm9yczb","ms1000405","motor","","76","img/motor_8.png","76","motor","8","8","1","0","0","",""
"null","","246895","HierDyu6st8fl4","eezvm9yczb","ms1000405","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"565","","247468","HierDyu6st8fl4","eezvm9yczb","ms1000405","motor","","75","img/motor_7.png","75","motor","7","9","1","0","0","",""
"null","","247583","HierDyu6st8fl4","eezvm9yczb","ms1000405","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"692","","248284","HierDyu6st8fl4","eezvm9yczb","ms1000405","motor","","83","img/motor_2.png","83","motor","2","10","1","0","0","",""
"null","","248398","HierDyu6st8fl4","eezvm9yczb","ms1000405","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"549","","248957","HierDyu6st8fl4","eezvm9yczb","ms1000405","motor","","70","img/motor_4.png","70","motor","4","11","1","0","0","",""
