"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","type","trialNum","corr","repeatTrial","motorSwitch","pracCounter"
"1202716","{""Q0"":""msl000227""}","1202748","HierDyhur00wdf","w1kr81ai6m","msl000227","","","","","","","","","","","","",""
"1171","","1203927","HierDyhur00wdf","w1kr81ai6m","msl000227","","","","","","","","","","","","",""
"","","1206329","HierDyhur00wdf","w1kr81ai6m","msl000227","fullscreen","","","","","","","","","","","",""
"11259","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""female""}","1217593","HierDyhur00wdf","w1kr81ai6m","msl000227","","[0,1,2]","","","","","","","","","","",""
"5606","{""Q0"":""20""}","1223215","HierDyhur00wdf","w1kr81ai6m","msl000227","","","","","","","","","","","","",""
"82721","","1305946","HierDyhur00wdf","w1kr81ai6m","msl000227","","","","","","","","","","","","",""
"877","","1306831","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_7.png","75","motor","7","color","1","1","0","0",""
"null","","1306940","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"514","","1307470","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","76","img/motor_8.png","76","motor","8","color","2","1","0","0",""
"null","","1307579","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"565","","1308151","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","72","img/motor_5.png","72","motor","5","color","3","1","0","0",""
"null","","1308266","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"460","","1308742","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","74","img/motor_6.png","74","motor","6","color","4","1","0","0",""
"null","","1308851","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"381","","1309239","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","76","img/motor_8.png","76","motor","8","color","5","1","0","0",""
"null","","1309354","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"389","","1309752","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_7.png","75","motor","7","color","6","1","0","0",""
"null","","1309860","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"380","","1310247","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","72","img/motor_5.png","72","motor","5","color","7","1","0","0",""
"null","","1310361","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"365","","1310742","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","74","img/motor_6.png","74","motor","6","color","8","1","0","0",""
"null","","1310851","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"533","","1311398","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","65","img/motor_1.png","65","motor","1","color","9","1","0","0",""
"null","","1311514","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"446","","1311974","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","10","1","0","0",""
"null","","1312089","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"477","","1312575","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","72","img/motor_5.png","72","motor","5","color","11","1","0","0",""
"null","","1312683","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"524","","1313216","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","12","1","0","0",""
"null","","1313330","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
