"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"14992","{""Q0"":""msl000488""}","15013","HierDyhg4oxn19","wzu2evt65w","msl000488","","","","","","","","","","","",""
"1014","","16034","HierDyhg4oxn19","wzu2evt65w","msl000488","","","","","","","","","","","",""
"","","17880","HierDyhg4oxn19","wzu2evt65w","msl000488","fullscreen","","","","","","","","","","",""
"64613","","82502","HierDyhg4oxn19","wzu2evt65w","msl000488","","","","","","","","","","","",""
"949","","83459","HierDyhg4oxn19","wzu2evt65w","msl000488","motor","img/motor_5.png","72","72","motor","5","1","1","0","0","",""
"null","","83568","HierDyhg4oxn19","wzu2evt65w","msl000488","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"679","","84257","HierDyhg4oxn19","wzu2evt65w","msl000488","motor","img/motor_1.png","65","65","motor","1","2","1","0","0","",""
"null","","84366","HierDyhg4oxn19","wzu2evt65w","msl000488","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"892","","85265","HierDyhg4oxn19","wzu2evt65w","msl000488","motor","img/motor_3.png","68","68","motor","3","3","1","0","0","",""
"null","","85376","HierDyhg4oxn19","wzu2evt65w","msl000488","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"581","","85964","HierDyhg4oxn19","wzu2evt65w","msl000488","motor","img/motor_2.png","83","83","motor","2","4","1","0","0","",""
"null","","86075","HierDyhg4oxn19","wzu2evt65w","msl000488","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"758","","86843","HierDyhg4oxn19","wzu2evt65w","msl000488","motor","img/motor_8.png","76","76","motor","8","5","1","0","0","",""
"null","","86954","HierDyhg4oxn19","wzu2evt65w","msl000488","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"839","","87801","HierDyhg4oxn19","wzu2evt65w","msl000488","motor","img/motor_4.png","70","70","motor","4","6","1","0","0","",""
"null","","87908","HierDyhg4oxn19","wzu2evt65w","msl000488","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"587","","88501","HierDyhg4oxn19","wzu2evt65w","msl000488","motor","img/motor_5.png","72","72","motor","5","7","1","0","0","",""
"null","","88610","HierDyhg4oxn19","wzu2evt65w","msl000488","iti","img/motor_blank.png","null","72","motor","","","","","","",""
