"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"15312","{""Q0"":""msl000839""}","15337","HierDy94ffrtnk","bjrx3ykrop","msl000839","","","","","","","","","","","",""
"1615","","16959","HierDy94ffrtnk","bjrx3ykrop","msl000839","","","","","","","","","","","",""
"","","18990","HierDy94ffrtnk","bjrx3ykrop","msl000839","fullscreen","","","","","","","","","","",""
"56736","","75737","HierDy94ffrtnk","bjrx3ykrop","msl000839","","","","","","","","","","","",""
"725","","76473","HierDy94ffrtnk","bjrx3ykrop","msl000839","motor","img/motor_7.png","75","75","motor","7","1","1","0","0","",""
"null","","76583","HierDy94ffrtnk","bjrx3ykrop","msl000839","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"613","","77205","HierDy94ffrtnk","bjrx3ykrop","msl000839","motor","img/motor_1.png","65","65","motor","1","2","1","0","0","",""
"null","","77316","HierDy94ffrtnk","bjrx3ykrop","msl000839","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"685","","78010","HierDy94ffrtnk","bjrx3ykrop","msl000839","motor","img/motor_5.png","72","72","motor","5","3","1","0","0","",""
"null","","78119","HierDy94ffrtnk","bjrx3ykrop","msl000839","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"529","","78657","HierDy94ffrtnk","bjrx3ykrop","msl000839","motor","img/motor_7.png","75","75","motor","7","4","1","0","0","",""
"null","","78767","HierDy94ffrtnk","bjrx3ykrop","msl000839","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"487","","79262","HierDy94ffrtnk","bjrx3ykrop","msl000839","motor","img/motor_5.png","72","72","motor","5","5","1","0","0","",""
"null","","79373","HierDy94ffrtnk","bjrx3ykrop","msl000839","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"401","","79780","HierDy94ffrtnk","bjrx3ykrop","msl000839","motor","img/motor_5.png","72","72","motor","5","6","1","0","0","",""
"null","","79890","HierDy94ffrtnk","bjrx3ykrop","msl000839","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"435","","80333","HierDy94ffrtnk","bjrx3ykrop","msl000839","motor","img/motor_6.png","74","74","motor","6","7","1","0","0","",""
"null","","80444","HierDy94ffrtnk","bjrx3ykrop","msl000839","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"491","","80942","HierDy94ffrtnk","bjrx3ykrop","msl000839","motor","img/motor_1.png","65","65","motor","1","8","1","0","0","",""
"null","","81047","HierDy94ffrtnk","bjrx3ykrop","msl000839","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"421","","81474","HierDy94ffrtnk","bjrx3ykrop","msl000839","motor","img/motor_1.png","65","65","motor","1","9","1","0","0","",""
"null","","81579","HierDy94ffrtnk","bjrx3ykrop","msl000839","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"539","","82124","HierDy94ffrtnk","bjrx3ykrop","msl000839","motor","img/motor_3.png","68","68","motor","3","10","1","0","0","",""
"null","","82233","HierDy94ffrtnk","bjrx3ykrop","msl000839","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"550","","82790","HierDy94ffrtnk","bjrx3ykrop","msl000839","motor","img/motor_2.png","83","83","motor","2","11","1","0","0","",""
"null","","82901","HierDy94ffrtnk","bjrx3ykrop","msl000839","iti","img/motor_blank.png","null","83","motor","","","","","","",""
