"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"6143","{""Q0"":""msl000632""}","6166","HierDyldyrp8c3","lsn46nza6b","msl000632","","","","","","","","","","","",""
"2440","","8615","HierDyldyrp8c3","lsn46nza6b","msl000632","","","","","","","","","","","",""
"","","10645","HierDyldyrp8c3","lsn46nza6b","msl000632","fullscreen","","","","","","","","","","",""
"49316","","59972","HierDyldyrp8c3","lsn46nza6b","msl000632","","","","","","","","","","","",""
"783","","60765","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_5.png","72","72","motor","5","1","1","0","0","",""
"null","","60874","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"588","","61471","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_3.png","68","68","motor","3","2","1","0","0","",""
"null","","61581","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"755","","62343","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_8.png","75","76","motor","8","3","0","1","0","",""
"1058","","63409","HierDyldyrp8c3","lsn46nza6b","msl000632","motorRepeat","img/motor_8.png","76","76","motor","8","3","1","0","0","",""
"null","","63516","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"607","","64130","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_7.png","75","75","motor","7","4","1","0","0","",""
"null","","64237","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"581","","64825","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_2.png","83","83","motor","2","5","1","0","0","",""
"null","","64932","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"441","","65380","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_2.png","83","83","motor","2","6","1","0","0","",""
"null","","65488","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"627","","66120","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_6.png","74","74","motor","6","7","1","0","0","",""
"null","","66227","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"496","","66730","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_5.png","72","72","motor","5","8","1","0","0","",""
"null","","66837","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"493","","67337","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_7.png","75","75","motor","7","9","1","0","0","",""
"null","","67444","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"594","","68045","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_2.png","83","83","motor","2","10","1","0","0","",""
"null","","68152","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"475","","68633","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_6.png","75","74","motor","6","11","0","1","0","",""
"301","","68940","HierDyldyrp8c3","lsn46nza6b","msl000632","motorRepeat","img/motor_6.png","74","74","motor","6","11","1","0","0","",""
"null","","69047","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"517","","69571","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_3.png","68","68","motor","3","12","1","0","0","",""
"null","","69678","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"780","","70464","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_7.png","75","75","motor","7","13","1","0","0","",""
"null","","70572","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"578","","71156","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_4.png","70","70","motor","4","14","1","0","0","",""
"null","","71263","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"578","","71852","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_1.png","65","65","motor","1","15","1","0","0","",""
"null","","71959","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"661","","72629","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_2.png","83","83","motor","2","16","1","0","0","",""
"null","","72736","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"522","","73266","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_7.png","75","75","motor","7","17","1","0","0","",""
"null","","73374","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"412","","73792","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_1.png","83","65","motor","1","18","0","1","0","",""
"354","","74154","HierDyldyrp8c3","lsn46nza6b","msl000632","motorRepeat","img/motor_1.png","65","65","motor","1","18","1","0","0","",""
"null","","74262","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"597","","74866","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_2.png","83","83","motor","2","19","1","0","0","",""
"null","","74974","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"637","","75618","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_7.png","75","75","motor","7","20","1","0","0","",""
"null","","75724","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"596","","76329","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_7.png","75","75","motor","7","21","1","0","0","",""
"null","","76437","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"647","","77091","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_5.png","72","72","motor","5","22","1","0","0","",""
"null","","77199","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"511","","77716","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_2.png","70","83","motor","2","23","0","1","0","",""
"260","","77984","HierDyldyrp8c3","lsn46nza6b","msl000632","motorRepeat","img/motor_2.png","83","83","motor","2","23","1","0","0","",""
"null","","78092","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"516","","78614","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_4.png","70","70","motor","4","24","1","0","0","",""
"null","","78722","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"584","","79314","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_1.png","65","65","motor","1","25","1","0","0","",""
"null","","79423","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"419","","79849","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_1.png","65","65","motor","1","26","1","0","0","",""
"null","","79956","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"538","","80501","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_7.png","75","75","motor","7","27","1","0","0","",""
"null","","80607","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"575","","81188","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_3.png","68","68","motor","3","28","1","0","0","",""
"null","","81295","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"399","","81700","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_3.png","68","68","motor","3","29","1","0","0","",""
"null","","81807","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"581","","82394","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_6.png","75","74","motor","6","30","0","1","0","",""
"176","","82579","HierDyldyrp8c3","lsn46nza6b","msl000632","motorRepeat","img/motor_6.png","74","74","motor","6","30","1","0","0","",""
"null","","82686","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"516","","83208","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_1.png","65","65","motor","1","31","1","0","0","",""
"null","","83315","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"568","","83890","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_7.png","75","75","motor","7","32","1","0","0","",""
"null","","83997","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"392","","84396","HierDyldyrp8c3","lsn46nza6b","msl000632","motor","img/motor_7.png","75","75","motor","7","33","1","0","0","",""
"null","","84503","HierDyldyrp8c3","lsn46nza6b","msl000632","iti","img/motor_blank.png","null","75","motor","","","","","","",""
