rt,responses,time_elapsed,subject,prolificID,demoID,trialType,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy
1560038,"{""Q0"":""msl000833""}",1560063,FlatDy0b0gla92,vx79du4x2b,msl000833,,,,,,,,,,,,
2154,,1562224,FlatDy0b0gla92,vx79du4x2b,msl000833,,,,,,,,,,,,
,,1564019,FlatDy0b0gla92,vx79du4x2b,msl000833,fullscreen,,,,,,,,,,,
196200,,1760228,FlatDy0b0gla92,vx79du4x2b,msl000833,,,,,,,,,,,,
1501,,1761738,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,74,img/motor_6.png,74,motor,6,1,1,0,0,,
null,,1761846,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_6.png,74,motor,,,,,,,
558,,1762414,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,72,img/motor_5.png,72,motor,5,2,1,0,0,,
null,,1762523,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_5.png,72,motor,,,,,,,
784,,1763315,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,65,img/motor_1.png,65,motor,1,3,1,0,0,,
null,,1763425,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_1.png,65,motor,,,,,,,
595,,1764027,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,83,img/motor_2.png,83,motor,2,4,1,0,0,,
null,,1764138,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_2.png,83,motor,,,,,,,
544,,1764688,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,72,img/motor_5.png,72,motor,5,5,1,0,0,,
null,,1764798,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_5.png,72,motor,,,,,,,
482,,1765286,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,74,img/motor_6.png,74,motor,6,6,1,0,0,,
null,,1765397,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_6.png,74,motor,,,,,,,
493,,1765900,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,76,img/motor_8.png,76,motor,8,7,1,0,0,,
null,,1766010,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_8.png,76,motor,,,,,,,
484,,1766503,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,72,img/motor_5.png,72,motor,5,8,1,0,0,,
null,,1766613,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_5.png,72,motor,,,,,,,
490,,1767111,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,83,img/motor_2.png,83,motor,2,9,1,0,0,,
null,,1767221,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_2.png,83,motor,,,,,,,
474,,1767704,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,83,img/motor_2.png,83,motor,2,10,1,0,0,,
null,,1767812,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_2.png,83,motor,,,,,,,
479,,1768299,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,65,img/motor_1.png,65,motor,1,11,1,0,0,,
null,,1768408,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_1.png,65,motor,,,,,,,
449,,1768866,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,83,img/motor_2.png,83,motor,2,12,1,0,0,,
null,,1768976,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_2.png,83,motor,,,,,,,
416,,1769401,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,65,img/motor_1.png,65,motor,1,13,1,0,0,,
null,,1769511,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_1.png,65,motor,,,,,,,
682,,1770202,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,68,img/motor_3.png,68,motor,3,14,1,0,0,,
null,,1770311,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_3.png,68,motor,,,,,,,
423,,1770745,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,68,img/motor_3.png,68,motor,3,15,1,0,0,,
null,,1770855,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_3.png,68,motor,,,,,,,
507,,1771369,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,72,img/motor_6.png,74,motor,6,16,0,1,0,,
333,,1771710,FlatDy0b0gla92,vx79du4x2b,msl000833,motorRepeat,74,img/motor_6.png,74,motor,6,16,1,0,0,,
null,,1771820,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_6.png,74,motor,,,,,,,
521,,1772349,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,76,img/motor_8.png,76,motor,8,17,1,0,0,,
null,,1772459,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_8.png,76,motor,,,,,,,
569,,1773036,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,83,img/motor_2.png,83,motor,2,18,1,0,0,,
null,,1773146,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_2.png,83,motor,,,,,,,
570,,1773723,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,75,img/motor_7.png,75,motor,7,19,1,0,0,,
null,,1773833,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_7.png,75,motor,,,,,,,
515,,1774356,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,74,img/motor_6.png,74,motor,6,20,1,0,0,,
null,,1774466,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_6.png,74,motor,,,,,,,
534,,1775009,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,83,img/motor_2.png,83,motor,2,21,1,0,0,,
null,,1775119,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_2.png,83,motor,,,,,,,
454,,1775582,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,75,img/motor_6.png,74,motor,6,22,0,1,0,,
345,,1775935,FlatDy0b0gla92,vx79du4x2b,msl000833,motorRepeat,74,img/motor_6.png,74,motor,6,22,1,0,0,,
null,,1776043,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_6.png,74,motor,,,,,,,
603,,1776656,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,70,img/motor_4.png,70,motor,4,23,1,0,0,,
null,,1776766,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_4.png,70,motor,,,,,,,
525,,1777298,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,72,img/motor_5.png,72,motor,5,24,1,0,0,,
null,,1777408,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_5.png,72,motor,,,,,,,
484,,1777900,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,76,img/motor_8.png,76,motor,8,25,1,0,0,,
null,,1778011,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_8.png,76,motor,,,,,,,
499,,1778519,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,65,img/motor_1.png,65,motor,1,26,1,0,0,,
null,,1778629,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_1.png,65,motor,,,,,,,
472,,1779110,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,76,img/motor_8.png,76,motor,8,27,1,0,0,,
null,,1779221,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_8.png,76,motor,,,,,,,
468,,1779697,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,76,img/motor_8.png,76,motor,8,28,1,0,0,,
null,,1779806,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_8.png,76,motor,,,,,,,
531,,1780347,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,75,img/motor_7.png,75,motor,7,29,1,0,0,,
null,,1780456,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_7.png,75,motor,,,,,,,
446,,1780913,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,76,img/motor_8.png,76,motor,8,30,1,0,0,,
null,,1781024,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_8.png,76,motor,,,,,,,
517,,1781548,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,70,img/motor_4.png,70,motor,4,31,1,0,0,,
null,,1781659,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_4.png,70,motor,,,,,,,
495,,1782163,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,72,img/motor_5.png,72,motor,5,32,1,0,0,,
null,,1782273,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_5.png,72,motor,,,,,,,
498,,1782781,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,74,img/motor_6.png,74,motor,6,33,1,0,0,,
null,,1782892,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_6.png,74,motor,,,,,,,
466,,1783366,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,75,img/motor_7.png,75,motor,7,34,1,0,0,,
null,,1783477,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_7.png,75,motor,,,,,,,
543,,1784029,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,70,img/motor_4.png,70,motor,4,35,1,0,0,,
null,,1784138,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_4.png,70,motor,,,,,,,
492,,1784637,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,65,img/motor_1.png,65,motor,1,36,1,0,0,,
null,,1784746,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_1.png,65,motor,,,,,,,
468,,1785224,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,75,img/motor_7.png,75,motor,7,37,1,0,0,,
null,,1785334,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_7.png,75,motor,,,,,,,
480,,1785823,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,74,img/motor_6.png,74,motor,6,38,1,0,0,,
null,,1785932,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_6.png,74,motor,,,,,,,
472,,1786413,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,70,img/motor_4.png,70,motor,4,39,1,0,0,,
null,,1786524,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_4.png,70,motor,,,,,,,
653,,1787186,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,74,img/motor_6.png,74,motor,6,40,1,0,0,,
null,,1787294,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_6.png,74,motor,,,,,,,
867,,1788169,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,83,img/motor_2.png,83,motor,2,41,1,0,0,,
null,,1788277,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_2.png,83,motor,,,,,,,
487,,1788774,FlatDy0b0gla92,vx79du4x2b,msl000833,motor,76,img/motor_8.png,76,motor,8,42,1,0,0,,
null,,1788884,FlatDy0b0gla92,vx79du4x2b,msl000833,iti,null,img/motor_8.png,76,motor,,,,,,,
