"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"12397","{""Q0"":""msl000799""}","12450","FlatDye7prf82r","6tb93qh6xt","msl000799","","","","","","","","","","","",""
"1319","","13777","FlatDye7prf82r","6tb93qh6xt","msl000799","","","","","","","","","","","",""
"","","16258","FlatDye7prf82r","6tb93qh6xt","msl000799","fullscreen","","","","","","","","","","",""
"68390","","84659","FlatDye7prf82r","6tb93qh6xt","msl000799","","","","","","","","","","","",""
"3769","","88437","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","74","img/motor_7.png","75","motor","7","1","0","1","0","",""
"2","","88448","FlatDye7prf82r","6tb93qh6xt","msl000799","motorRepeat","75","img/motor_7.png","75","motor","7","1","1","0","0","",""
"null","","88555","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_7.png","75","motor","","","","","","",""
"1300","","89861","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","65","img/motor_1.png","65","motor","1","2","1","0","0","",""
"null","","89968","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_1.png","65","motor","","","","","","",""
"1232","","91207","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","72","img/motor_5.png","72","motor","5","3","1","0","0","",""
"null","","91315","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_5.png","72","motor","","","","","","",""
"1928","","93252","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","75","img/motor_7.png","75","motor","7","4","1","0","0","",""
"null","","93362","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_7.png","75","motor","","","","","","",""
"1145","","94513","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","72","img/motor_5.png","72","motor","5","5","1","0","0","",""
"null","","94621","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_5.png","72","motor","","","","","","",""
"807","","95435","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","72","img/motor_5.png","72","motor","5","6","1","0","0","",""
"null","","95542","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_5.png","72","motor","","","","","","",""
"919","","96469","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","74","img/motor_6.png","74","motor","6","7","1","0","0","",""
"null","","96580","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_6.png","74","motor","","","","","","",""
"665","","97252","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","65","img/motor_1.png","65","motor","1","8","1","0","0","",""
"null","","97359","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_1.png","65","motor","","","","","","",""
"1656","","99021","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","65","img/motor_1.png","65","motor","1","9","1","0","0","",""
"null","","99127","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_1.png","65","motor","","","","","","",""
"1297","","100431","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","68","img/motor_3.png","68","motor","3","10","1","0","0","",""
"null","","100539","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_3.png","68","motor","","","","","","",""
"717","","101263","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","83","img/motor_2.png","83","motor","2","11","1","0","0","",""
"null","","101370","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_2.png","83","motor","","","","","","",""
"4329","","105707","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","72","img/motor_5.png","72","motor","5","12","1","0","0","",""
"null","","105814","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_5.png","72","motor","","","","","","",""
"1142","","106961","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","70","img/motor_4.png","70","motor","4","13","1","0","0","",""
"null","","107068","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_4.png","70","motor","","","","","","",""
"784","","107858","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","68","img/motor_3.png","68","motor","3","14","1","0","0","",""
"null","","107965","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_3.png","68","motor","","","","","","",""
"223","","108195","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","68","img/motor_5.png","72","motor","5","15","0","1","0","",""
"611","","108812","FlatDye7prf82r","6tb93qh6xt","msl000799","motorRepeat","72","img/motor_5.png","72","motor","5","15","1","0","0","",""
"null","","108919","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_5.png","72","motor","","","","","","",""
"1123","","110050","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","75","img/motor_7.png","75","motor","7","16","1","0","0","",""
"null","","110159","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_7.png","75","motor","","","","","","",""
"944","","111110","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","65","img/motor_1.png","65","motor","1","17","1","0","0","",""
"null","","111219","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_1.png","65","motor","","","","","","",""
"2299","","113525","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","76","img/motor_8.png","76","motor","8","18","1","0","0","",""
"null","","113633","FlatDye7prf82r","6tb93qh6xt","msl000799","iti","null","img/motor_8.png","76","motor","","","","","","",""
"1329","","114969","FlatDye7prf82r","6tb93qh6xt","msl000799","motor","70","img/motor_3.png","68","motor","3","19","0","1","0","",""
