"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"6763","{""Q0"":""msl000489""}","6784","FlatDy5ddo342t","quq75twwov","msl000489","","","","","","","","","","","",""
"1337","","8132","FlatDy5ddo342t","quq75twwov","msl000489","","","","","","","","","","","",""
"","","9909","FlatDy5ddo342t","quq75twwov","msl000489","fullscreen","","","","","","","","","","",""
"45829","","55749","FlatDy5ddo342t","quq75twwov","msl000489","","","","","","","","","","","",""
"735","","56494","FlatDy5ddo342t","quq75twwov","msl000489","motor","72","img/motor_5.png","72","motor","5","1","1","0","0","",""
"null","","56603","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_5.png","72","motor","","","","","","",""
"549","","57162","FlatDy5ddo342t","quq75twwov","msl000489","motor","74","img/motor_6.png","74","motor","6","2","1","0","0","",""
"null","","57273","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_6.png","74","motor","","","","","","",""
"562","","57841","FlatDy5ddo342t","quq75twwov","msl000489","motor","70","img/motor_4.png","70","motor","4","3","1","0","0","",""
"null","","57947","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_4.png","70","motor","","","","","","",""
"475","","58431","FlatDy5ddo342t","quq75twwov","msl000489","motor","68","img/motor_3.png","68","motor","3","4","1","0","0","",""
"null","","58541","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_3.png","68","motor","","","","","","",""
"504","","59053","FlatDy5ddo342t","quq75twwov","msl000489","motor","74","img/motor_6.png","74","motor","6","5","1","0","0","",""
"null","","59163","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_6.png","74","motor","","","","","","",""
"464","","59636","FlatDy5ddo342t","quq75twwov","msl000489","motor","70","img/motor_4.png","70","motor","4","6","1","0","0","",""
"null","","59746","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_4.png","70","motor","","","","","","",""
