id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline
6,6,forced,2,1,motor,3,3,1,1,1.200,1.113,0
6,6,forced,2,2,motor,8,8,0,0,0.700,8.678,0
6,6,forced,2,3,motor,5,5,1,1,0.500,0.434,0
6,6,forced,2,4,motor,7,8,0,1,0.200,0.221,0
6,6,forced,2,5,motor,6,6,1,1,0.300,0.277,0
6,6,forced,2,6,motor,2,2,1,1,0.500,0.403,0
6,6,forced,2,7,motor,4,3,0,1,0.400,0.304,0
6,6,forced,2,8,motor,6,6,0,0,0.800,0.685,0
6,6,forced,2,9,motor,7,7,0,0,0.100,0.364,0
6,6,forced,2,10,motor,6,6,0,0,0.500,0.387,0
6,6,forced,2,11,motor,8,8,0,0,0.700,0.577,0
6,6,forced,2,12,motor,6,6,1,1,0.500,0.403,0
6,6,forced,2,13,motor,4,4,0,0,0.700,0.579,0
6,6,forced,2,14,motor,1,1,0,0,1,0.855,0
6,6,forced,2,15,motor,4,4,0,0,0.100,0.388,0
6,6,forced,2,16,motor,3,3,1,1,0.700,0.681,0
6,6,forced,2,17,motor,2,2,1,1,0.500,0.481,0
6,6,forced,2,18,motor,5,5,1,1,0.300,0.385,0
6,6,forced,2,19,motor,2,2,1,1,0.500,0.483,0
6,6,forced,2,20,motor,5,5,1,1,1.200,1.172,0
6,6,forced,5,1,learn,7,6,0,0,1.200,3.461,0
6,6,forced,5,2,learn,2,1,0,1,0.700,0.652,0
6,6,forced,5,3,learn,4,3,0,0,0.500,0.643,0
6,6,forced,5,4,learn,3,2,0,0,0.200,0.374,0
6,6,forced,5,5,learn,7,4,0,0,0.300,0.573,0
6,6,forced,5,6,learn,7,5,0,0,0.500,0.772,0
6,6,forced,5,7,learn,3,1,0,0,0.400,0.527,0
6,6,forced,5,8,learn,8,8,1,1,0.800,0.764,0
6,6,forced,5,9,learn,4,6,0,0,0.100,0.445,0
6,6,forced,5,10,learn,1,1,0,0,0.500,0.377,0
6,6,forced,5,11,learn,5,3,0,1,0.700,0.678,0
6,6,forced,5,12,learn,1,1,1,1,0.500,0.479,0
6,6,forced,5,13,learn,3,3,1,1,0.700,0.650,0
6,6,forced,5,14,learn,8,8,0,0,1,1.156,0
6,6,forced,5,15,learn,8,8,0,0,0.100,0.408,0
6,6,forced,5,16,learn,7,6,0,1,0.700,0.647,0
