"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill","eml","eml2","eml3"
"1","01",1,"forced",5,1,"learn",8,8,1,1,1.2,1.203,0,1,"R",2,NA,NA,NA,NA,NA,NA,"R",2,1,1,8,1,0.00300000000000011,"12","10",NA,NA,NA,NA,"1/1/1",1,"1/1/1",1,1,"c_late","c_late","c_late2"
"2","01",1,"forced",5,2,"learn",8,8,1,1,0.6,0.534,0,2,"R",2,0,0,0,0,0,0,"R",2,1,1,8,2,-0.0659999999999999,"4","5","rep/rep/rep","0",8,0,"1/1/1",1,"1/1/1",1,1,"b_mid","b_mid","b_mid1"
"3","01",1,"forced",5,3,"learn",1,2,0,1,0.8,0.727,0,1,"L",1,1,1,1,1,1,1,"L",1,1,1,1,3,-0.0730000000000001,"7","6","sw/sw/sw","6",8,1,"1/1/0",0,"1/1/0",1,1,"b_mid","b_mid","b_mid2"
"4","01",1,"forced",5,4,"learn",7,7,1,0,0.7,0.567,0,1,"R",2,1,1,1,1,1,1,"R",2,1,1,7,4,-0.133,"4","5","sw/sw/sw","6",1,2,"1/1/1",1,"1/1/1",1,1,"b_mid","b_mid","b_mid1"
"5","01",1,"forced",5,5,"learn",4,4,1,1,0.7,0.693,0,1,"L",2,1,0,1,1,0,1,"L",2,1,1,4,5,-0.00700000000000001,"6","5","sw/rep/sw","6",7,2,"1/1/1",1,"1/1/1",1,1,"b_mid","b_mid","b_mid1"
"6","01",1,"forced",5,6,"learn",8,7,0,1,0.8,0.9,0,3,"R",2,1,0,1,1,0,1,"R",2,1,1,8,6,0.1,"9","6","sw/rep/sw","6",4,3,"1/1/0",0,"1/1/0",1,1,"c_late","b_mid","b_mid2"
"7","01",1,"forced",5,7,"learn",8,8,1,1,0.7,0.791,0,4,"R",2,0,0,0,0,0,1,"R",2,1,1,8,7,0.0910000000000001,"8","5","rep/rep/sw","2",8,0,"1/1/1",1,"1/1/1",1,1,"b_mid","b_mid","b_mid2"
"8","01",1,"forced",5,8,"learn",7,4,0,0,0.2,0.581,0,2,"R",2,0,0,1,1,0,1,"L",2,0,1,7,8,0.381,"5","1","sw/rep/sw","6",8,1,"0/1/0",0,"0/1/0",1,NA,"b_mid","b_mid","b_mid1"
"9","01",1,"forced",5,9,"learn",7,7,1,0,0.5,0.764,0,3,"R",2,0,0,0,1,0,1,"R",2,1,1,7,9,0.264,"7","4","sw/rep/sw","6",7,0,"1/1/1",1,"1/1/1",1,NA,"b_mid","b_mid","b_mid2"
"10","01",1,"forced",5,10,"learn",5,5,1,1,0.9,0.901,0,1,"R",1,0,1,1,0,1,1,"R",1,1,1,5,10,0.001,"9","7","rep/sw/sw","4",7,1,"1/1/1",1,"1/1/1",1,1,"c_late","c_late","c_late1"
"11","01",1,"forced",5,11,"learn",7,7,1,0,1.2,1.045,0,4,"R",2,0,1,1,0,1,1,"R",2,1,1,7,11,-0.155,"11","10","rep/sw/sw","4",5,1,"1/1/1",1,"1/1/1",1,1,"c_late","c_late","c_late1"
"12","01",1,"forced",5,12,"learn",4,4,1,0,1.2,1.017,0,2,"L",2,1,0,1,1,0,1,"L",2,1,1,4,12,-0.183,"10","10","sw/rep/sw","6",7,2,"1/1/1",1,"1/1/1",1,1,"c_late","c_late","c_late1"
"13","01",1,"forced",5,13,"learn",2,2,1,0,1.2,1.062,0,1,"L",1,0,1,1,0,1,1,"L",1,1,1,2,13,-0.138,"11","10","rep/sw/sw","4",4,1,"1/1/1",1,"1/1/1",1,1,"c_late","c_late","c_late1"
"14","01",1,"forced",5,14,"learn",3,3,1,1,1.1,1.061,0,1,"L",2,0,1,1,0,1,1,"L",2,1,1,3,14,-0.0390000000000001,"11","9","rep/sw/sw","4",2,2,"1/1/1",1,"1/1/1",1,1,"c_late","c_late","c_late1"
"15","01",1,"forced",5,15,"learn",2,2,1,0,0.3,0.734,0,2,"L",1,0,1,1,0,1,1,"L",1,1,1,2,15,0.434,"7","2","rep/sw/sw","4",3,2,"1/1/1",1,"1/1/1",1,NA,"b_mid","b_mid","b_mid2"
"16","01",1,"forced",5,16,"learn",8,8,1,1,0.7,0.646,0,5,"R",2,1,1,1,1,1,1,"R",2,1,1,8,16,-0.0539999999999999,"6","5","sw/sw/sw","6",2,2,"1/1/1",1,"1/1/1",1,1,"b_mid","b_mid","b_mid1"
"17","01",1,"forced",5,17,"learn",1,1,1,0,0.3,0.411,0,2,"L",1,1,1,1,1,1,1,"L",1,1,1,1,17,0.111,"2","2","sw/sw/sw","6",8,1,"1/1/1",1,"1/1/1",1,1,"b_mid","a_early",NA
"18","01",1,"forced",5,18,"learn",8,8,1,0,0.2,0.497,0,6,"R",2,1,1,1,1,1,1,"R",2,1,1,8,18,0.297,"3","1","sw/sw/sw","6",1,1,"1/1/1",1,"1/1/1",1,NA,"b_mid","a_early",NA
