"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","day","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2"
"1","sub17",5,"forced",5,1,"learn",5,5,1,0,1.2,3.577,0,1,1,"R",1,NA,NA,NA,NA,NA,NA,"R",1,1,1,5,1,2.377,"12","10",NA,NA,NA,NA,"1/1/1",1,"1/1/1"
"2","sub17",5,"forced",5,2,"learn",5,5,1,0,0.2,0.449,0,1,2,"R",1,0,0,0,0,0,0,"R",1,1,1,5,2,0.249,"3","1","rep/rep/rep","0",5,0,"1/1/1",1,"1/1/1"
"3","sub17",5,"forced",5,3,"learn",4,4,1,0,0.5,1.546,0,1,1,"L",2,1,1,1,1,1,1,"L",2,1,1,4,3,1.046,"12","4","sw/sw/sw","6",5,1,"1/1/1",1,"1/1/1"
"4","sub17",5,"forced",5,4,"learn",6,5,0,0,0.8,1.337,0,1,1,"R",1,1,1,1,1,1,1,"R",1,1,1,6,4,0.537,"12","6","sw/sw/sw","6",4,2,"1/1/0",0,"1/1/0"
"5","sub17",5,"forced",5,5,"learn",1,1,1,0,0.7,0.82,0,1,1,"L",1,1,0,1,1,0,1,"L",1,1,1,1,5,0.12,"8","5","sw/rep/sw","6",6,2,"1/1/1",1,"1/1/1"
"6","sub17",5,"forced",5,6,"learn",1,1,1,0,0.6,0.471,0,1,2,"L",1,0,0,0,0,0,0,"L",1,1,1,1,6,-0.129,"3","5","rep/rep/rep","0",1,0,"1/1/1",1,"1/1/1"
"7","sub17",5,"forced",5,7,"learn",8,7,0,0,0.6,0.712,0,1,1,"R",2,1,1,1,1,1,1,"R",2,1,1,8,7,0.112,"6","5","sw/sw/sw","6",1,1,"1/1/0",0,"1/1/0"
"8","sub17",5,"forced",5,8,"learn",6,6,1,0,0.7,0.802,0,1,2,"R",1,0,1,1,0,1,1,"R",1,1,1,6,8,0.102,"7","5","rep/sw/sw","4",8,1,"1/1/1",1,"1/1/1"
"9","sub17",5,"forced",5,9,"learn",2,5,0,0,0.8,0.615,0,1,1,"L",1,1,0,1,0,0,1,"R",1,0,1,2,9,-0.185,"5","6","rep/rep/sw","2",6,3,"0/1/0",0,"0/1/0"
"10","sub17",5,"forced",5,10,"learn",4,4,1,1,0.7,0.678,0,1,2,"L",2,0,1,1,1,1,1,"L",2,1,1,4,10,-0.0219999999999999,"6","5","sw/sw/sw","6",2,1,"1/1/1",1,"1/1/1"
