"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","day","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill"
"1","sub17",5,"forced",5,1,"learn",5,5,1,1,1.2,1.088,0,8,1,"R",1,NA,NA,NA,NA,NA,NA,"R",1,1,1,5,1,-0.112,"11","10",NA,NA,NA,NA,"1/1/1",1,"1/1/1",1,1
"2","sub17",5,"forced",5,2,"learn",5,5,1,0,0.2,0.422,0,8,2,"R",1,0,0,0,0,0,0,"R",1,1,1,5,2,0.222,"2","1","rep/rep/rep","0",5,0,"1/1/1",1,"1/1/1",1,1
"3","sub17",5,"forced",5,3,"learn",4,4,1,0,0.5,0.611,0,8,1,"L",2,1,1,1,1,1,1,"L",2,1,1,4,3,0.111,"5","4","sw/sw/sw","6",5,1,"1/1/1",1,"1/1/1",1,1
"4","sub17",5,"forced",5,4,"learn",6,6,1,0,0.8,0.69,0,8,1,"R",1,1,1,1,1,1,1,"R",1,1,1,6,4,-0.11,"6","6","sw/sw/sw","6",4,2,"1/1/1",1,"1/1/1",1,1
"5","sub17",5,"forced",5,5,"learn",1,1,1,1,0.7,0.644,0,8,1,"L",1,1,0,1,1,0,1,"L",1,1,1,1,5,-0.0559999999999999,"5","5","sw/rep/sw","6",6,2,"1/1/1",1,"1/1/1",1,1
"6","sub17",5,"forced",5,6,"learn",1,1,1,0,0.6,0.485,0,8,2,"L",1,0,0,0,0,0,0,"L",1,1,1,1,6,-0.115,"3","5","rep/rep/rep","0",1,0,"1/1/1",1,"1/1/1",1,1
"7","sub17",5,"forced",5,7,"learn",8,8,1,1,0.6,0.558,0,8,1,"R",2,1,1,1,1,1,1,"R",2,1,1,8,7,-0.0419999999999999,"4","5","sw/sw/sw","6",1,1,"1/1/1",1,"1/1/1",1,1
"8","sub17",5,"forced",5,8,"learn",6,6,1,1,0.7,0.672,0,8,2,"R",1,0,1,1,0,1,1,"R",1,1,1,6,8,-0.0279999999999999,"6","5","rep/sw/sw","4",8,1,"1/1/1",1,"1/1/1",1,1
"9","sub17",5,"forced",5,9,"learn",2,2,1,0,0.8,0.688,0,8,1,"L",1,1,0,1,1,0,1,"L",1,1,1,2,9,-0.112,"6","6","sw/rep/sw","6",6,3,"1/1/1",1,"1/1/1",1,1
"10","sub17",5,"forced",5,10,"learn",4,4,1,1,0.7,0.635,0,8,2,"L",2,0,1,1,0,1,1,"L",2,1,1,4,10,-0.0649999999999999,"5","5","rep/sw/sw","4",2,1,"1/1/1",1,"1/1/1",1,1
"11","sub17",5,"forced",5,11,"learn",4,4,1,1,1.2,1.22,0,8,3,"L",2,0,0,0,0,0,0,"L",2,1,1,4,11,0.02,"12","10","rep/rep/rep","0",4,0,"1/1/1",1,"1/1/1",1,1
"12","sub17",5,"forced",5,12,"learn",3,3,1,1,0.6,0.546,0,8,1,"L",2,0,0,1,0,0,1,"L",2,1,1,3,12,-0.0539999999999999,"4","5","rep/rep/sw","2",4,1,"1/1/1",1,"1/1/1",1,1
"13","sub17",5,"forced",5,13,"learn",7,2,0,1,0.3,0.279,0,8,1,"R",2,1,0,1,0,1,1,"L",1,0,0,7,13,-0.021,"2","2","rep/sw/sw","4",3,3,"0/0/0",0,"0/0/0",1,1
