"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"5978","6002","HierDyvc8ryfj5","01","01","8","","","","","","","","","","","",""
"","7705","HierDyvc8ryfj5","01","01","8","fullscreen","","","","","","","","","","",""
"25988","33703","HierDyvc8ryfj5","01","01","8","","","","","","","","","","","",""
"742","34455","HierDyvc8ryfj5","01","01","8","motor","83","img/motor_2.png","83","motor","2","1","1","0","0","",""
"null","34565","HierDyvc8ryfj5","01","01","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"700","35273","HierDyvc8ryfj5","01","01","8","motor","74","img/motor_6.png","74","motor","6","2","1","0","0","",""
"null","35383","HierDyvc8ryfj5","01","01","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"612","36005","HierDyvc8ryfj5","01","01","8","motor","70","img/motor_4.png","70","motor","4","3","1","0","0","",""
"null","36115","HierDyvc8ryfj5","01","01","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"398","36522","HierDyvc8ryfj5","01","01","8","motor","70","img/motor_4.png","70","motor","4","4","1","0","0","",""
"null","36632","HierDyvc8ryfj5","01","01","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"710","37352","HierDyvc8ryfj5","01","01","8","motor","72","img/motor_5.png","72","motor","5","5","1","0","0","",""
"null","37460","HierDyvc8ryfj5","01","01","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"412","37882","HierDyvc8ryfj5","01","01","8","motor","83","img/motor_2.png","83","motor","2","6","1","0","0","",""
"null","37994","HierDyvc8ryfj5","01","01","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"372","38376","HierDyvc8ryfj5","01","01","8","motor","65","img/motor_1.png","65","motor","1","7","1","0","0","",""
"null","38486","HierDyvc8ryfj5","01","01","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"474","38968","HierDyvc8ryfj5","01","01","8","motor","68","img/motor_3.png","68","motor","3","8","1","0","0","",""
"null","39080","HierDyvc8ryfj5","01","01","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"465","39552","HierDyvc8ryfj5","01","01","8","motor","70","img/motor_4.png","70","motor","4","9","1","0","0","",""
