"rt","time_elapsed","subject","subID","group","day","trialType","phase","key_press","stim","stimNum","corrresp","hierarchy","trialNum","corr","responses"
"1231","1234","HierDy6qv4pm6z","sub09","09","3","","","","","","","","","",""
"","2922","HierDy6qv4pm6z","sub09","09","3","fullscreen","","","","","","","","",""
"4393.600000023842","7316","HierDy6qv4pm6z","sub09","09","3","","prac","","","","","","","",""
"996.6000000238419","8318","HierDy6qv4pm6z","sub09","09","3","","","32","","","","","","",""
"2447.5999999940395","10767","HierDy6qv4pm6z","sub09","09","3","","prac","","","","","","","",""
"944","11715","HierDy6qv4pm6z","sub09","09","3","rl","test","70","img/o_d_diag.png","4","70","shape,pattern,color","1","1",""
"null","12734","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","1","",""
"613.6999999880791","13349","HierDy6qv4pm6z","sub09","09","3","rl","test","68","img/r_d_diag.png","3","68","shape,pattern,color","2","1",""
"null","14364","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","2","",""
"683.5","15049","HierDy6qv4pm6z","sub09","09","3","rl","test","65","img/r_d_dots.png","1","65","shape,pattern,color","3","1",""
"null","16067","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","3","",""
"856.5","16925","HierDy6qv4pm6z","sub09","09","3","rl","test","74","img/o_c_dots.png","6","74","shape,pattern,color","4","1",""
"null","17940","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","4","",""
"537.6000000238419","18479","HierDy6qv4pm6z","sub09","09","3","rl","test","72","img/r_c_dots.png","5","72","shape,pattern,color","5","1",""
"null","19490","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","5","",""
"927.8000000119209","20419","HierDy6qv4pm6z","sub09","09","3","rl","test","83","img/o_d_dots.png","2","83","shape,pattern,color","6","1",""
"null","21441","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","6","",""
"1010.3000000119209","22452","HierDy6qv4pm6z","sub09","09","3","rl","test","74","img/o_c_dots.png","6","74","shape,pattern,color","7","1",""
"null","23462","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","7","",""
"928.4000000059605","24391","HierDy6qv4pm6z","sub09","09","3","rl","test","75","img/r_c_stripes.png","7","75","shape,pattern,color","8","1",""
"null","25403","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","8","",""
"612.4000000059605","26017","HierDy6qv4pm6z","sub09","09","3","rl","test","75","img/r_c_stripes.png","7","75","shape,pattern,color","9","1",""
"null","27027","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","9","",""
"774.2999999821186","27803","HierDy6qv4pm6z","sub09","09","3","rl","test","76","img/o_c_stripes.png","8","76","shape,pattern,color","10","1",""
"null","28814","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","10","",""
"720.7000000178814","29535","HierDy6qv4pm6z","sub09","09","3","rl","test","72","img/r_c_dots.png","5","72","shape,pattern,color","11","1",""
"null","30551","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","11","",""
"991.5999999940395","31545","HierDy6qv4pm6z","sub09","09","3","rl","test","70","img/o_d_diag.png","4","70","shape,pattern,color","12","1",""
"null","32563","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","12","",""
"795.3000000119209","33360","HierDy6qv4pm6z","sub09","09","3","rl","test","68","img/r_d_diag.png","3","68","shape,pattern,color","13","1",""
"null","34370","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","13","",""
"1052.5999999940395","35425","HierDy6qv4pm6z","sub09","09","3","rl","test","76","img/o_c_stripes.png","8","76","shape,pattern,color","14","1",""
"null","36449","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","14","",""
"1535.2000000178814","37986","HierDy6qv4pm6z","sub09","09","3","rl","test","68","img/r_d_dots.png","1","65","shape,pattern,color","15","0",""
"null","38996","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","15","",""
"804.9000000059605","39803","HierDy6qv4pm6z","sub09","09","3","rl","test","68","img/r_d_diag.png","3","68","shape,pattern,color","16","1",""
"null","40821","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","16","",""
"708.5","41531","HierDy6qv4pm6z","sub09","09","3","rl","test","65","img/r_d_dots.png","1","65","shape,pattern,color","17","1",""
"null","42549","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","17","",""
"1155.7000000178814","43707","HierDy6qv4pm6z","sub09","09","3","rl","test","75","img/r_c_stripes.png","7","75","shape,pattern,color","18","1",""
"null","44724","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","18","",""
"1083.8999999761581","45809","HierDy6qv4pm6z","sub09","09","3","rl","test","83","img/o_d_dots.png","2","83","shape,pattern,color","19","1",""
"null","46822","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","19","",""
"726.1999999880791","47550","HierDy6qv4pm6z","sub09","09","3","rl","test","83","img/o_d_dots.png","2","83","shape,pattern,color","20","1",""
"null","48555","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","20","",""
"766","49322","HierDy6qv4pm6z","sub09","09","3","rl","test","75","img/o_c_dots.png","6","74","shape,pattern,color","21","0",""
"null","50339","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","21","",""
"770.4000000059605","51111","HierDy6qv4pm6z","sub09","09","3","rl","test","75","img/o_c_stripes.png","8","76","shape,pattern,color","22","0",""
"null","52129","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","22","",""
"752.9000000059605","52884","HierDy6qv4pm6z","sub09","09","3","rl","test","75","img/r_c_stripes.png","7","75","shape,pattern,color","23","1",""
"null","53894","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","23","",""
"1001.5","54897","HierDy6qv4pm6z","sub09","09","3","rl","test","72","img/r_c_dots.png","5","72","shape,pattern,color","24","1",""
"null","55918","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","24","",""
"664.5","56584","HierDy6qv4pm6z","sub09","09","3","rl","test","74","img/o_c_dots.png","6","74","shape,pattern,color","25","1",""
"null","57594","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","25","",""
"1070.6000000238419","58666","HierDy6qv4pm6z","sub09","09","3","rl","test","70","img/o_d_diag.png","4","70","shape,pattern,color","26","1",""
"null","59691","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","26","",""
"798.3000000119209","60492","HierDy6qv4pm6z","sub09","09","3","rl","test","83","img/o_d_dots.png","2","83","shape,pattern,color","27","1",""
"null","61512","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","27","",""
"792.1999999880791","62306","HierDy6qv4pm6z","sub09","09","3","rl","test","70","img/o_d_diag.png","4","70","shape,pattern,color","28","1",""
"null","63324","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","28","",""
"1245.4000000059605","64571","HierDy6qv4pm6z","sub09","09","3","rl","test","68","img/r_d_diag.png","3","68","shape,pattern,color","29","1",""
"null","65581","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","29","",""
"1739.300000011921","67322","HierDy6qv4pm6z","sub09","09","3","rl","test","72","img/r_c_dots.png","5","72","shape,pattern,color","30","1",""
"null","68325","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","30","",""
"829.3999999761581","69156","HierDy6qv4pm6z","sub09","09","3","rl","test","76","img/o_c_stripes.png","8","76","shape,pattern,color","31","1",""
"null","70175","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","31","",""
"967.8000000119209","71144","HierDy6qv4pm6z","sub09","09","3","rl","test","65","img/r_d_dots.png","1","65","shape,pattern,color","32","1",""
"null","72156","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","32","",""
"1080.5","73238","HierDy6qv4pm6z","sub09","09","3","rl","test","70","img/o_d_diag.png","4","70","shape,pattern,color","33","1",""
"null","74257","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","33","",""
"954.8000000119209","75214","HierDy6qv4pm6z","sub09","09","3","rl","test","72","img/r_c_dots.png","5","72","shape,pattern,color","34","1",""
"null","76224","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","34","",""
"1243.4000000059605","77470","HierDy6qv4pm6z","sub09","09","3","rl","test","83","img/o_d_dots.png","2","83","shape,pattern,color","35","1",""
"null","78487","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","35","",""
"921.0999999940395","79409","HierDy6qv4pm6z","sub09","09","3","rl","test","68","img/r_d_diag.png","3","68","shape,pattern,color","36","1",""
"null","80422","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","36","",""
"1175.9000000059605","81599","HierDy6qv4pm6z","sub09","09","3","rl","test","75","img/r_c_stripes.png","7","75","shape,pattern,color","37","1",""
"null","82619","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","37","",""
"1297.7000000178814","83918","HierDy6qv4pm6z","sub09","09","3","rl","test","83","img/o_d_dots.png","2","83","shape,pattern,color","38","1",""
"null","84927","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","38","",""
"1372.699999988079","86301","HierDy6qv4pm6z","sub09","09","3","rl","test","75","img/r_c_stripes.png","7","75","shape,pattern,color","39","1",""
"null","87316","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","39","",""
"1207.2000000178814","88525","HierDy6qv4pm6z","sub09","09","3","rl","test","74","img/o_c_dots.png","6","74","shape,pattern,color","40","1",""
"null","89543","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","40","",""
"1275.5999999940395","90820","HierDy6qv4pm6z","sub09","09","3","rl","test","76","img/o_c_stripes.png","8","76","shape,pattern,color","41","1",""
"null","91834","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","41","",""
"658.0999999940395","92494","HierDy6qv4pm6z","sub09","09","3","rl","test","76","img/o_c_stripes.png","8","76","shape,pattern,color","42","1",""
"null","93513","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","42","",""
"1167.300000011921","94683","HierDy6qv4pm6z","sub09","09","3","rl","test","65","img/r_d_dots.png","1","65","shape,pattern,color","43","1",""
"null","95694","HierDy6qv4pm6z","sub09","09","3","feedback","test","null","","","na","","43","",""
"1405.4000000059605","97101","HierDy6qv4pm6z","sub09","09","3","rl","test","74","img/o_c_dots.png","6","74","shape,pattern,color","44","1",""
