"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"16457","16467","HierDyjz7vkxeh","sub13","01","1","","","","","","","","","","","","",""
"","18123","HierDyjz7vkxeh","sub13","01","1","fullscreen","","","","","","","","","","","",""
"511770","529906","HierDyjz7vkxeh","sub13","01","1","","","","","","","","","","","","",""
"655","530575","HierDyjz7vkxeh","sub13","01","1","motor","75","img/motor_7.png","75","motor","7","1","1","0","0","","",""
"null","530686","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"458","531156","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","2","1","0","0","","",""
"null","531267","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"465","531742","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","3","1","0","0","","",""
"null","531852","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"391","532252","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_6.png","74","motor","6","4","1","0","0","","",""
"null","532364","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"353","532724","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","5","1","0","0","","",""
"null","532832","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"473","533314","HierDyjz7vkxeh","sub13","01","1","motor","75","img/motor_7.png","75","motor","7","6","1","0","0","","",""
"null","533422","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"417","533847","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","7","1","0","0","","",""
"null","533956","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"451","534414","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_6.png","74","motor","6","8","1","0","0","","",""
"null","534522","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"413","534943","HierDyjz7vkxeh","sub13","01","1","motor","65","img/motor_1.png","65","motor","1","9","1","0","0","","",""
"null","535052","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"330","535388","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_2.png","83","motor","2","10","0","1","0","","",""
"438","535834","HierDyjz7vkxeh","sub13","01","1","motorRepeat","83","img/motor_2.png","83","motor","2","10","1","0","0","","",""
"null","535942","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"507","536456","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","11","1","0","0","","",""
"null","536563","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"552","537124","HierDyjz7vkxeh","sub13","01","1","motor","83","img/motor_2.png","83","motor","2","12","1","0","0","","",""
"null","537232","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"385","537625","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_7.png","75","motor","7","13","0","1","0","","",""
"429","538062","HierDyjz7vkxeh","sub13","01","1","motorRepeat","75","img/motor_7.png","75","motor","7","13","1","0","0","","",""
"null","538170","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
