"rt","time_elapsed","subject","subID","group","day","trialType","phase","key_press","stim","stimNum","corrresp","hierarchy","trialNum","corr","responses"
"4341.30000000447","4345","HierDyhe1gv0zb","sub16","04","07","","","","","","","","","",""
"","6220","HierDyhe1gv0zb","sub16","04","07","fullscreen","","","","","","","","",""
"1470.2000000029802","7691","HierDyhe1gv0zb","sub16","04","07","","prac","","","","","","","",""
"804.1000000014901","8499","HierDyhe1gv0zb","sub16","04","07","","","32","","","","","","",""
"1123.8999999985099","9624","HierDyhe1gv0zb","sub16","04","07","","prac","","","","","","","",""
"679.7999999970198","10306","HierDyhe1gv0zb","sub16","04","07","rl","test","70","img/o_s_check.png","4","70","color,pattern,shape","1","1",""
"null","11316","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","1","",""
"778.5999999940395","12096","HierDyhe1gv0zb","sub16","04","07","rl","test","74","img/b_s_stripes.png","6","74","color,pattern,shape","2","1",""
"null","13107","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","2","",""
"1058","14167","HierDyhe1gv0zb","sub16","04","07","rl","test","72","img/b_d_stripes.png","5","72","color,pattern,shape","3","1",""
"null","15176","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","3","",""
"674.8000000044703","15852","HierDyhe1gv0zb","sub16","04","07","rl","test","83","img/o_s_stripes.png","2","83","color,pattern,shape","4","1",""
"null","16858","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","4","",""
"712.7000000029802","17571","HierDyhe1gv0zb","sub16","04","07","rl","test","65","img/o_d_stripes.png","1","65","color,pattern,shape","5","1",""
"null","18579","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","5","",""
"1120.0999999940395","19700","HierDyhe1gv0zb","sub16","04","07","rl","test","74","img/b_d_check.png","7","75","color,pattern,shape","6","0",""
"null","20705","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","6","",""
"672","21379","HierDyhe1gv0zb","sub16","04","07","rl","test","83","img/o_s_stripes.png","2","83","color,pattern,shape","7","1",""
"null","22383","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","7","",""
"1041","23426","HierDyhe1gv0zb","sub16","04","07","rl","test","68","img/o_d_check.png","3","68","color,pattern,shape","8","1",""
"null","24431","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","8","",""
"903.7999999970198","25337","HierDyhe1gv0zb","sub16","04","07","rl","test","76","img/b_s_check.png","8","76","color,pattern,shape","9","1",""
"null","26344","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","9","",""
"610.1000000014901","26955","HierDyhe1gv0zb","sub16","04","07","rl","test","76","img/b_s_check.png","8","76","color,pattern,shape","10","1",""
"null","27962","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","10","",""
"771.1000000014901","28734","HierDyhe1gv0zb","sub16","04","07","rl","test","72","img/b_d_stripes.png","5","72","color,pattern,shape","11","1",""
"null","29744","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","11","",""
"600.3000000044703","30346","HierDyhe1gv0zb","sub16","04","07","rl","test","70","img/o_s_check.png","4","70","color,pattern,shape","12","1",""
"null","31354","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","12","",""
"1065","32421","HierDyhe1gv0zb","sub16","04","07","rl","test","68","img/o_d_check.png","3","68","color,pattern,shape","13","1",""
"null","33432","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","13","",""
"1175.7999999970198","34609","HierDyhe1gv0zb","sub16","04","07","rl","test","75","img/b_d_check.png","7","75","color,pattern,shape","14","1",""
"null","35615","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","14","",""
"864.2999999970198","36481","HierDyhe1gv0zb","sub16","04","07","rl","test","74","img/b_s_stripes.png","6","74","color,pattern,shape","15","1",""
"null","37488","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","15","",""
"981.8999999985099","38472","HierDyhe1gv0zb","sub16","04","07","rl","test","65","img/o_d_stripes.png","1","65","color,pattern,shape","16","1",""
"null","39478","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","16","",""
"1796.3999999985099","41276","HierDyhe1gv0zb","sub16","04","07","rl","test","74","img/b_s_stripes.png","6","74","color,pattern,shape","17","1",""
"null","42290","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","17","",""
"677.7000000029802","42970","HierDyhe1gv0zb","sub16","04","07","rl","test","70","img/o_s_check.png","4","70","color,pattern,shape","18","1",""
"null","43975","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","18","",""
"786.8999999985099","44764","HierDyhe1gv0zb","sub16","04","07","rl","test","83","img/o_s_stripes.png","2","83","color,pattern,shape","19","1",""
"null","45775","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","19","",""
"637.2000000029802","46413","HierDyhe1gv0zb","sub16","04","07","rl","test","65","img/o_d_stripes.png","1","65","color,pattern,shape","20","1",""
"null","47425","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","20","",""
"827.6000000014901","48254","HierDyhe1gv0zb","sub16","04","07","rl","test","74","img/b_d_stripes.png","5","72","color,pattern,shape","21","0",""
"null","49262","HierDyhe1gv0zb","sub16","04","07","feedback","test","null","","","na","","21","",""
"1277","50541","HierDyhe1gv0zb","sub16","04","07","rl","test","68","img/o_d_check.png","3","68","color,pattern,shape","22","1",""
