id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline,day
Sub21,9,forced,2,1,motor,4,4,0,0,1.200,3.007,0,1
Sub21,9,forced,2,2,motor,7,7,0,0,0.600,0.325,0,1
Sub21,9,forced,2,3,motor,8,8,1,1,0.300,0.284,0,1
Sub21,9,forced,2,4,motor,1,1,0,0,0.500,0.353,0,1
Sub21,9,forced,2,5,motor,2,2,1,1,0.200,0.256,0,1
Sub21,9,forced,2,6,motor,7,7,0,0,1.200,0.976,0,1
Sub21,9,forced,2,7,motor,3,4,0,0,0.900,0.762,0,1
Sub21,9,forced,2,8,motor,1,1,1,1,0.500,0.403,0,1
Sub21,9,forced,2,9,motor,7,7,1,1,0.500,0.426,0,1
Sub21,9,forced,2,10,motor,3,3,0,0,0.900,0.748,0,1
Sub21,9,forced,2,11,motor,1,1,1,1,0.700,0.733,0,1
Sub21,9,forced,2,12,motor,7,7,0,0,1.100,0.977,0,1
Sub21,9,forced,2,13,motor,7,7,1,1,0.200,0.256,0,1
Sub21,9,forced,2,14,motor,8,8,0,0,0.900,0.757,0,1
Sub21,9,forced,2,15,motor,6,6,1,1,0.300,0.294,0,1
Sub21,9,forced,2,16,motor,5,5,0,0,1,0.810,0,1
Sub21,9,forced,2,17,motor,1,1,0,0,0.700,0.557,0,1
Sub21,9,forced,2,18,motor,8,8,0,0,1.200,1.008,0,1
Sub21,9,forced,2,19,motor,4,4,0,0,0.300,0.438,0,1
Sub21,9,forced,2,20,motor,1,1,0,0,0.100,0.301,0,1
Sub21,9,forced,5,1,learn,7,7,0,0,1.200,14.317,0,1
Sub21,9,forced,5,2,learn,6,6,0,0,0.600,8.004,0,1
Sub21,9,forced,5,3,learn,8,8,0,0,0.300,1.736,0,1
Sub21,9,forced,5,4,learn,7,7,0,0,0.500,1.147,0,1
Sub21,9,forced,5,5,learn,6,6,0,0,0.200,2.193,0,1
Sub21,9,forced,5,6,learn,3,1,0,0,1.200,3.197,0,1
Sub21,9,forced,5,7,learn,4,4,0,0,0.900,1.195,0,1
Sub21,9,forced,5,8,learn,8,7,0,0,0.500,0.759,0,1
Sub21,9,forced,5,9,learn,4,4,0,0,0.500,0.611,0,1
Sub21,9,forced,5,10,learn,6,8,0,0,0.900,0.759,0,1
Sub21,9,forced,5,11,learn,1,1,0,0,0.700,1.596,0,1
Sub21,9,forced,5,12,learn,5,6,0,1,1.100,1.077,0,1
Sub21,9,forced,5,13,learn,4,4,0,0,0.200,0.707,0,1
Sub21,9,forced,5,14,learn,5,8,0,0,0.900,1.075,0,1
Sub21,9,forced,5,15,learn,4,4,0,0,0.300,0.493,0,1
Sub21,9,forced,5,16,learn,1,2,0,1,1,0.985,0,1
Sub21,9,forced,5,17,learn,1,2,0,1,0.700,0.619,0,1
Sub21,9,forced,5,18,learn,6,7,0,0,1.200,0.997,0,1
Sub21,9,forced,5,19,learn,4,4,0,0,0.300,0.605,0,1
Sub21,9,forced,5,20,learn,4,4,1,1,0.100,0.177,0,1
Sub21,9,forced,5,21,learn,3,4,0,1,0.300,0.375,0,1
Sub21,9,forced,5,22,learn,4,4,0,0,1,0.661,0,1
Sub21,9,forced,5,23,learn,6,7,0,0,0.200,1.598,0,1
Sub21,9,forced,5,24,learn,4,4,0,0,0.200,0.539,0,1
Sub21,9,forced,5,25,learn,1,2,0,0,0.300,0.498,0,1
Sub21,9,forced,5,26,learn,1,2,0,0,0.200,0.702,0,1
Sub21,9,forced,5,27,learn,8,7,0,1,1.100,1.152,0,1
Sub21,9,forced,5,28,learn,4,4,0,0,0.400,0.552,0,1
Sub21,9,forced,5,29,learn,5,8,0,0,1,0.836,0,1
Sub21,9,forced,5,30,learn,4,4,1,1,0.700,0.601,0,1
Sub21,9,forced,5,31,learn,5,6,0,1,1.100,1.031,0,1
Sub21,9,forced,5,32,learn,1,6,0,1,0.800,0.899,0,1
Sub21,9,forced,5,33,learn,5,6,0,0,0.400,0.748,0,1
Sub21,9,forced,5,34,learn,5,5,1,1,0.800,0.788,0,1
Sub21,9,forced,5,35,learn,6,6,0,0,0.900,0.770,0,1
Sub21,9,forced,5,36,learn,2,2,0,0,0.800,2.536,0,1
Sub21,9,forced,5,37,learn,3,2,0,0,0.400,0.800,0,1
Sub21,9,forced,5,38,learn,6,5,0,0,1.200,1.013,0,1
Sub21,9,forced,5,39,learn,6,6,0,0,0.900,0.708,0,1
Sub21,9,forced,5,40,learn,8,7,0,0,0.400,0.518,0,1
Sub21,9,forced,5,41,learn,2,2,0,0,0.500,1.961,0,1
Sub21,9,forced,5,42,learn,4,4,0,0,0.700,0.552,0,1
Sub21,9,forced,5,43,learn,4,4,1,1,0.300,0.400,0,1
Sub21,9,forced,5,44,learn,3,3,1,1,1,0.945,0,1
Sub21,9,forced,5,45,learn,2,2,1,1,0.500,0.474,0,1
Sub21,9,forced,5,46,learn,3,1,0,1,0.500,0.471,0,1
Sub21,9,forced,5,47,learn,8,4,0,1,0.300,0.333,0,1
Sub21,9,forced,5,48,learn,6,6,1,1,0.900,0.834,0,1
Sub21,9,forced,5,49,learn,6,5,0,1,0.500,0.527,0,1
Sub21,9,forced,5,50,learn,1,2,0,0,0.200,1.001,0,1
Sub21,9,forced,5,51,learn,2,2,1,1,0.400,0.444,0,1
Sub21,9,forced,5,52,learn,5,7,0,0,0.500,0.649,0,1
Sub21,9,forced,5,53,learn,2,2,1,1,0.700,0.677,0,1
Sub21,9,forced,5,54,learn,7,3,0,0,0.700,0.832,0,1
Sub21,9,forced,5,55,learn,3,3,0,0,0.100,1.155,0,1
Sub21,9,forced,5,56,learn,8,7,0,1,0.800,0.714,0,1
Sub21,9,forced,5,57,learn,3,6,0,0,0.600,0.453,0,1
Sub21,9,forced,5,58,learn,7,7,0,0,0.600,0.448,0,1
Sub21,9,forced,5,59,learn,6,8,0,0,1.200,1.079,0,1
Sub21,9,forced,5,60,learn,5,6,0,1,0.100,0.078,0,1
Sub21,9,forced,5,61,learn,5,5,0,0,1.100,0.874,0,1
Sub21,9,forced,5,62,learn,8,6,0,1,0.800,0.709,0,1
Sub21,9,forced,5,63,learn,5,8,0,1,0.300,0.279,0,1
Sub21,9,forced,5,64,learn,4,3,0,1,0.500,0.541,0,1
Sub21,9,forced,5,65,learn,3,3,0,0,0.100,1.086,0,1
Sub21,9,forced,5,66,learn,2,5,0,0,0.100,0.224,0,1
Sub21,9,forced,5,67,learn,5,5,0,0,0.400,2.762,0,1
Sub21,9,forced,5,68,learn,1,1,0,0,0.400,1.370,0,1
Sub21,9,forced,5,69,learn,6,2,0,0,0.800,0.519,0,1
Sub21,9,forced,5,70,learn,4,4,1,1,0.700,0.797,0,1
Sub21,9,forced,5,71,learn,5,6,0,0,0.200,2.527,0,1
Sub21,9,forced,5,72,learn,3,4,0,1,0.600,0.680,0,1
Sub21,9,forced,5,73,learn,8,8,0,0,0.400,2.619,0,1
Sub21,9,forced,5,74,learn,7,7,0,0,0.100,0.310,0,1
Sub21,9,forced,5,75,learn,4,4,0,0,0.500,0.609,0,1
Sub21,9,forced,5,76,learn,8,8,0,0,0.900,0.767,0,1
Sub21,9,forced,5,77,learn,8,7,0,0,0.200,0.312,0,1
Sub21,9,forced,5,78,learn,1,4,0,1,1.100,1.100,0,1
Sub21,9,forced,5,79,learn,8,7,0,0,0.800,0.592,0,1
Sub21,9,forced,5,80,learn,6,6,0,0,0.300,3.207,0,1
Sub21,9,forced,5,81,learn,2,3,0,0,0.900,0.798,0,1
Sub21,9,forced,5,82,learn,2,2,1,1,0.700,0.726,0,1
