"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"3138","3156","HierDywwo7grap","02","02","8","","","","","","","","","","","",""
"","4865","HierDywwo7grap","02","02","8","fullscreen","","","","","","","","","","",""
"81650","87414","HierDywwo7grap","02","02","8","","","","","","","","","","","",""
"767","88195","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","1","1","0","0","",""
"null","88310","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"652","88973","HierDywwo7grap","02","02","8","motor","74","img/motor_6.png","74","motor","6","2","1","0","0","",""
"null","89084","HierDywwo7grap","02","02","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"536","89630","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","3","1","0","0","",""
"null","89739","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"377","90126","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","4","1","0","0","",""
"null","90237","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"502","90747","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","5","1","0","0","",""
"null","90857","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"441","91308","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","6","1","0","0","",""
"null","91416","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"412","91839","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","7","1","0","0","",""
"null","91949","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"689","92648","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","8","1","0","0","",""
"null","92756","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"424","93189","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","9","1","0","0","",""
"null","93301","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"427","93736","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","10","1","0","0","",""
"null","93846","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"977","94834","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","11","1","0","0","",""
"null","94945","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"512","95467","HierDywwo7grap","02","02","8","motor","74","img/motor_6.png","74","motor","6","12","1","0","0","",""
"null","95578","HierDywwo7grap","02","02","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"545","96132","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","13","1","0","0","",""
"null","96243","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"463","96711","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","14","1","0","0","",""
