"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"4024","4034","HierDy55os536l","sub08","08","1","","","","","","","","","","","","",""
"","5842","HierDy55os536l","sub08","08","1","fullscreen","","","","","","","","","","","",""
"2635283","2641137","HierDy55os536l","sub08","08","1","","","","","","","","","","","","",""
"800","2641949","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","1","1","0","0","","",""
"null","2642062","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"589","2642662","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","2","1","0","0","","",""
"null","2642774","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"921","2643706","HierDy55os536l","sub08","08","1","motor","76","img/motor_7.png","75","motor","7","3","0","1","0","","",""
"2312","2646029","HierDy55os536l","sub08","08","1","motorRepeat","76","img/motor_7.png","75","motor","7","3","0","1","0","","",""
"1997","2648038","HierDy55os536l","sub08","08","1","motorRepeat","76","img/motor_7.png","75","motor","7","3","0","1","0","","",""
"2732","2650781","HierDy55os536l","sub08","08","1","motorRepeat","76","img/motor_7.png","75","motor","7","3","0","1","0","","",""
"5221","2656015","HierDy55os536l","sub08","08","1","motorRepeat","75","img/motor_7.png","75","motor","7","3","1","0","0","","",""
"null","2656128","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"706","2656846","HierDy55os536l","sub08","08","1","motor","83","img/motor_2.png","83","motor","2","4","1","0","0","","",""
"null","2656960","HierDy55os536l","sub08","08","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"709","2657679","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","5","1","0","0","","",""
"null","2657790","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"535","2658334","HierDy55os536l","sub08","08","1","motor","75","img/motor_7.png","75","motor","7","6","1","0","0","","",""
"null","2658445","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"452","2658908","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","7","1","0","0","","",""
"null","2659017","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"442","2659469","HierDy55os536l","sub08","08","1","motor","75","img/motor_7.png","75","motor","7","8","1","0","0","","",""
"null","2659578","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"612","2660199","HierDy55os536l","sub08","08","1","motor","72","img/motor_5.png","72","motor","5","9","1","0","0","","",""
"null","2660310","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"595","2660915","HierDy55os536l","sub08","08","1","motor","72","img/motor_5.png","72","motor","5","10","1","0","0","","",""
"null","2661024","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"628","2661662","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","11","1","0","0","","",""
"null","2661772","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"588","2662369","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","12","1","0","0","","",""
"null","2662479","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"506","2662993","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","13","1","0","0","","",""
"null","2663104","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"578","2663692","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","14","1","0","0","","",""
"null","2663802","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"701","2664512","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","15","1","0","0","","",""
"null","2664623","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"508","2665141","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","16","1","0","0","","",""
"null","2665252","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"533","2665792","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","17","1","0","0","","",""
"null","2665903","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"625","2666535","HierDy55os536l","sub08","08","1","motor","74","img/motor_5.png","72","motor","5","18","0","1","0","","",""
"452","2666997","HierDy55os536l","sub08","08","1","motorRepeat","72","img/motor_5.png","72","motor","5","18","1","0","0","","",""
"null","2667105","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"672","2667785","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","19","1","0","0","","",""
"null","2667895","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"781","2668684","HierDy55os536l","sub08","08","1","motor","74","img/motor_6.png","74","motor","6","20","1","0","0","","",""
"null","2668794","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"461","2669264","HierDy55os536l","sub08","08","1","motor","74","img/motor_6.png","74","motor","6","21","1","0","0","","",""
"null","2669374","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"531","2669916","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","22","1","0","0","","",""
"null","2670024","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"630","2670662","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","23","1","0","0","","",""
"null","2670771","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"479","2671259","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","24","1","0","0","","",""
"null","2671370","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"402","2671781","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","25","1","0","0","","",""
"null","2671891","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"530","2672431","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","26","1","0","0","","",""
"null","2672543","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"484","2673037","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","27","1","0","0","","",""
"null","2673147","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"521","2673678","HierDy55os536l","sub08","08","1","motor","83","img/motor_2.png","83","motor","2","28","1","0","0","","",""
"null","2673787","HierDy55os536l","sub08","08","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"596","2674392","HierDy55os536l","sub08","08","1","motor","75","img/motor_7.png","75","motor","7","29","1","0","0","","",""
"null","2674501","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"570","2675079","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","30","1","0","0","","",""
"null","2675191","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"529","2675728","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","31","1","0","0","","",""
"null","2675838","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"552","2676400","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","32","1","0","0","","",""
"null","2676511","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"522","2677039","HierDy55os536l","sub08","08","1","motor","68","img/motor_4.png","70","motor","4","33","0","1","0","","",""
"293","2677342","HierDy55os536l","sub08","08","1","motorRepeat","70","img/motor_4.png","70","motor","4","33","1","0","0","","",""
"null","2677452","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"707","2678167","HierDy55os536l","sub08","08","1","motor","75","img/motor_7.png","75","motor","7","34","1","0","0","","",""
"null","2678278","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"556","2678843","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","35","1","0","0","","",""
"null","2678954","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"747","2679712","HierDy55os536l","sub08","08","1","motor","75","img/motor_7.png","75","motor","7","36","1","0","0","","",""
"null","2679822","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"624","2680456","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","37","1","0","0","","",""
"null","2680567","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"557","2681132","HierDy55os536l","sub08","08","1","motor","83","img/motor_2.png","83","motor","2","38","1","0","0","","",""
"null","2681243","HierDy55os536l","sub08","08","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"727","2681981","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","39","1","0","0","","",""
"null","2682092","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"587","2682688","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","40","1","0","0","","",""
"null","2682798","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"633","2683441","HierDy55os536l","sub08","08","1","motor","75","img/motor_6.png","74","motor","6","41","0","1","0","","",""
"471","2683921","HierDy55os536l","sub08","08","1","motorRepeat","74","img/motor_6.png","74","motor","6","41","1","0","0","","",""
"null","2684030","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"668","2684706","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","42","1","0","0","","",""
"null","2684817","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"506","2685333","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","43","1","0","0","","",""
"null","2685444","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"609","2686063","HierDy55os536l","sub08","08","1","motor","75","img/motor_7.png","75","motor","7","44","1","0","0","","",""
"null","2686175","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"676","2686862","HierDy55os536l","sub08","08","1","motor","83","img/motor_2.png","83","motor","2","45","1","0","0","","",""
