"rt","time_elapsed","subject","subID","group","day","trialType","phase","key_press","stim","stimNum","corrresp","hierarchy","trialNum","corr","responses"
"4579.299999982119","4581","HierDyo4ge752n","sub14","02","06","","","","","","","","","",""
"","6265","HierDyo4ge752n","sub14","02","06","fullscreen","","","","","","","","",""
"939.1999999880791","7206","HierDyo4ge752n","sub14","02","06","","prac","","","","","","","",""
"684.5999999940395","7894","HierDyo4ge752n","sub14","02","06","","","32","","","","","","",""
"1855.5","9751","HierDyo4ge752n","sub14","02","06","","prac","","","","","","","",""
"665","10418","HierDyo4ge752n","sub14","02","06","rl","test","72","img/o_t_check.png","5","72","color,shape,pattern","1","1",""
"null","11424","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","1","",""
"841.5999999940395","12267","HierDyo4ge752n","sub14","02","06","rl","test","70","img/p_d_diag.png","4","70","color,shape,pattern","2","1",""
"null","13271","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","2","",""
"568.0999999940395","13841","HierDyo4ge752n","sub14","02","06","rl","test","65","img/p_t_check.png","1","65","color,shape,pattern","3","1",""
"null","14847","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","3","",""
"658.8999999761581","15508","HierDyo4ge752n","sub14","02","06","rl","test","68","img/p_d_check.png","3","68","color,shape,pattern","4","1",""
"null","16511","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","4","",""
"862.5","17375","HierDyo4ge752n","sub14","02","06","rl","test","76","img/o_d_diag.png","8","76","color,shape,pattern","5","1",""
"null","18382","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","5","",""
"612.8000000119209","18996","HierDyo4ge752n","sub14","02","06","rl","test","74","img/o_t_diag.png","6","74","color,shape,pattern","6","1",""
"null","20002","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","6","",""
"1000.2000000178814","21004","HierDyo4ge752n","sub14","02","06","rl","test","83","img/p_t_diag.png","2","83","color,shape,pattern","7","1",""
"null","22006","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","7","",""
"778.9000000059605","22787","HierDyo4ge752n","sub14","02","06","rl","test","75","img/o_d_check.png","7","75","color,shape,pattern","8","1",""
"null","23791","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","8","",""
"804.4000000059605","24597","HierDyo4ge752n","sub14","02","06","rl","test","83","img/o_t_diag.png","6","74","color,shape,pattern","9","0",""
"null","25599","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","9","",""
"1734.300000011921","27335","HierDyo4ge752n","sub14","02","06","rl","test","72","img/p_t_check.png","1","65","color,shape,pattern","10","0",""
"null","28340","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","10","",""
"2226","30567","HierDyo4ge752n","sub14","02","06","rl","test","83","img/p_t_diag.png","2","83","color,shape,pattern","11","1",""
"null","31570","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","11","",""
"794","32365","HierDyo4ge752n","sub14","02","06","rl","test","72","img/o_t_check.png","5","72","color,shape,pattern","12","1",""
"null","33371","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","12","",""
"914.2000000178814","34287","HierDyo4ge752n","sub14","02","06","rl","test","83","img/p_t_diag.png","2","83","color,shape,pattern","13","1",""
"null","35293","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","13","",""
"1531.4000000059605","36826","HierDyo4ge752n","sub14","02","06","rl","test","70","img/p_d_diag.png","4","70","color,shape,pattern","14","1",""
"null","37830","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","14","",""
"1311.5","39142","HierDyo4ge752n","sub14","02","06","rl","test","75","img/o_d_check.png","7","75","color,shape,pattern","15","1",""
"null","40147","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","15","",""
"1285.0999999940395","41434","HierDyo4ge752n","sub14","02","06","rl","test","76","img/o_d_diag.png","8","76","color,shape,pattern","16","1",""
"null","42443","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","16","",""
"843","43287","HierDyo4ge752n","sub14","02","06","rl","test","68","img/p_d_check.png","3","68","color,shape,pattern","17","1",""
"null","44291","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","17","",""
"638.7999999821186","44931","HierDyo4ge752n","sub14","02","06","rl","test","68","img/p_d_check.png","3","68","color,shape,pattern","18","1",""
"null","45934","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","18","",""
"811.5999999940395","46746","HierDyo4ge752n","sub14","02","06","rl","test","70","img/p_d_diag.png","4","70","color,shape,pattern","19","1",""
"null","47751","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","19","",""
"868.0999999940395","48620","HierDyo4ge752n","sub14","02","06","rl","test","72","img/o_t_check.png","5","72","color,shape,pattern","20","1",""
"null","49626","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","20","",""
"673.6999999880791","50302","HierDyo4ge752n","sub14","02","06","rl","test","74","img/o_t_diag.png","6","74","color,shape,pattern","21","1",""
"null","51307","HierDyo4ge752n","sub14","02","06","feedback","test","null","","","na","","21","",""
