"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"8926","8950","HierDyvyunofds","01","01","1","","","","","","","","","","","","",""
"","13481","HierDyvyunofds","01","01","1","fullscreen","","","","","","","","","","","",""
"168918","182414","HierDyvyunofds","01","01","1","","","","","","","","","","","","",""
"2185","184611","HierDyvyunofds","01","01","1","motor","75","img/motor_7.png","75","motor","7","1","1","0","0","","",""
"null","184723","HierDyvyunofds","01","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"504","185236","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","2","1","0","0","","",""
"null","185347","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"572","185928","HierDyvyunofds","01","01","1","motor","72","img/motor_5.png","72","motor","5","3","1","0","0","","",""
"null","186040","HierDyvyunofds","01","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"516","186566","HierDyvyunofds","01","01","1","motor","74","img/motor_6.png","74","motor","6","4","1","0","0","","",""
"null","186676","HierDyvyunofds","01","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"412","187098","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","5","1","0","0","","",""
"null","187209","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"481","187700","HierDyvyunofds","01","01","1","motor","75","img/motor_7.png","75","motor","7","6","1","0","0","","",""
"null","187811","HierDyvyunofds","01","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"421","188242","HierDyvyunofds","01","01","1","motor","72","img/motor_5.png","72","motor","5","7","1","0","0","","",""
"null","188353","HierDyvyunofds","01","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"421","188781","HierDyvyunofds","01","01","1","motor","74","img/motor_6.png","74","motor","6","8","1","0","0","","",""
"null","188892","HierDyvyunofds","01","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"482","189383","HierDyvyunofds","01","01","1","motor","65","img/motor_1.png","65","motor","1","9","1","0","0","","",""
"null","189493","HierDyvyunofds","01","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"405","189907","HierDyvyunofds","01","01","1","motor","83","img/motor_2.png","83","motor","2","10","1","0","0","","",""
"null","190017","HierDyvyunofds","01","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"589","190615","HierDyvyunofds","01","01","1","motor","72","img/motor_5.png","72","motor","5","11","1","0","0","","",""
"null","190725","HierDyvyunofds","01","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"596","191329","HierDyvyunofds","01","01","1","motor","83","img/motor_2.png","83","motor","2","12","1","0","0","","",""
"null","191440","HierDyvyunofds","01","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"465","191913","HierDyvyunofds","01","01","1","motor","75","img/motor_7.png","75","motor","7","13","1","0","0","","",""
"null","192024","HierDyvyunofds","01","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"585","192618","HierDyvyunofds","01","01","1","motor","70","img/motor_4.png","70","motor","4","14","1","0","0","","",""
"null","192728","HierDyvyunofds","01","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"403","193139","HierDyvyunofds","01","01","1","motor","70","img/motor_4.png","70","motor","4","15","1","0","0","","",""
"null","193249","HierDyvyunofds","01","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"352","193610","HierDyvyunofds","01","01","1","motor","65","img/motor_1.png","65","motor","1","16","1","0","0","","",""
"null","193721","HierDyvyunofds","01","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"396","194125","HierDyvyunofds","01","01","1","motor","65","img/motor_1.png","65","motor","1","17","1","0","0","","",""
"null","194236","HierDyvyunofds","01","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"581","194826","HierDyvyunofds","01","01","1","motor","74","img/motor_6.png","74","motor","6","18","1","0","0","","",""
"null","194938","HierDyvyunofds","01","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"653","195600","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","19","1","0","0","","",""
"null","195709","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"534","196253","HierDyvyunofds","01","01","1","motor","83","img/motor_2.png","83","motor","2","20","1","0","0","","",""
"null","196364","HierDyvyunofds","01","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"446","196821","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","21","1","0","0","","",""
"null","196930","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"402","197341","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","22","1","0","0","","",""
"null","197452","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"461","197923","HierDyvyunofds","01","01","1","motor","72","img/motor_5.png","72","motor","5","23","1","0","0","","",""
"null","198034","HierDyvyunofds","01","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"466","198509","HierDyvyunofds","01","01","1","motor","83","img/motor_2.png","83","motor","2","24","1","0","0","","",""
"null","198619","HierDyvyunofds","01","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"785","199413","HierDyvyunofds","01","01","1","motor","75","img/motor_7.png","75","motor","7","25","1","0","0","","",""
"null","199524","HierDyvyunofds","01","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"374","199907","HierDyvyunofds","01","01","1","motor","74","img/motor_6.png","74","motor","6","26","1","0","0","","",""
"null","200018","HierDyvyunofds","01","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"411","200434","HierDyvyunofds","01","01","1","motor","74","img/motor_6.png","74","motor","6","27","1","0","0","","",""
"null","200544","HierDyvyunofds","01","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"519","201072","HierDyvyunofds","01","01","1","motor","72","img/motor_5.png","72","motor","5","28","1","0","0","","",""
"null","201182","HierDyvyunofds","01","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"500","201693","HierDyvyunofds","01","01","1","motor","75","img/motor_7.png","75","motor","7","29","1","0","0","","",""
"null","201805","HierDyvyunofds","01","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"482","202296","HierDyvyunofds","01","01","1","motor","83","img/motor_2.png","83","motor","2","30","1","0","0","","",""
"null","202406","HierDyvyunofds","01","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"452","202866","HierDyvyunofds","01","01","1","motor","70","img/motor_4.png","70","motor","4","31","1","0","0","","",""
"null","202978","HierDyvyunofds","01","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"360","203348","HierDyvyunofds","01","01","1","motor","68","img/motor_3.png","68","motor","3","32","1","0","0","","",""
"null","203459","HierDyvyunofds","01","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"416","203884","HierDyvyunofds","01","01","1","motor","72","img/motor_5.png","72","motor","5","33","1","0","0","","",""
"null","203996","HierDyvyunofds","01","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"397","204402","HierDyvyunofds","01","01","1","motor","83","img/motor_3.png","68","motor","3","34","0","1","0","","",""
"431","204841","HierDyvyunofds","01","01","1","motorRepeat","68","img/motor_3.png","68","motor","3","34","1","0","0","","",""
"null","204952","HierDyvyunofds","01","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"562","205522","HierDyvyunofds","01","01","1","motor","70","img/motor_4.png","70","motor","4","35","1","0","0","","",""
"null","205633","HierDyvyunofds","01","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"520","206162","HierDyvyunofds","01","01","1","motor","68","img/motor_3.png","68","motor","3","36","1","0","0","","",""
"null","206271","HierDyvyunofds","01","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"887","207166","HierDyvyunofds","01","01","1","motor","74","img/motor_6.png","74","motor","6","37","1","0","0","","",""
"null","207278","HierDyvyunofds","01","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"474","207762","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","38","1","0","0","","",""
"null","207871","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"472","208351","HierDyvyunofds","01","01","1","motor","70","img/motor_4.png","70","motor","4","39","1","0","0","","",""
"null","208462","HierDyvyunofds","01","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"442","208912","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","40","1","0","0","","",""
"null","209023","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
