rt,time_elapsed,subject,subID,group,day,trialType,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy,responses
2652,2678,HierDy3zhkyz9e,sub03,3,1,,,,,,,,,,,,,
,4481,HierDy3zhkyz9e,sub03,3,1,fullscreen,,,,,,,,,,,,
494576,499069,HierDy3zhkyz9e,sub03,3,1,,,,,,,,,,,,,
3257,502342,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,1,1,0,0,,,
null,502456,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
2418,504885,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,2,1,0,0,,,
null,504996,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
1198,506204,HierDy3zhkyz9e,sub03,3,1,motor,70,img/motor_4.png,70,motor,4,3,1,0,0,,,
null,506314,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_4.png,70,motor,,,,,,,,
1153,507477,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,4,1,0,0,,,
null,507586,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
1111,508708,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,5,1,0,0,,,
null,508819,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
822,509649,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,6,1,0,0,,,
null,509760,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
1999,511768,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,7,1,0,0,,,
null,511880,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
855,512745,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,8,1,0,0,,,
null,512856,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
820,513683,HierDy3zhkyz9e,sub03,3,1,motor,74,img/motor_6.png,74,motor,6,9,1,0,0,,,
null,513794,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
885,514687,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_2.png,83,motor,2,10,0,1,0,,,
697,515395,HierDy3zhkyz9e,sub03,3,1,motorRepeat,83,img/motor_2.png,83,motor,2,10,1,0,0,,,
null,515506,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_2.png,83,motor,,,,,,,,
844,516360,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,11,1,0,0,,,
null,516472,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
876,517358,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,12,1,0,0,,,
null,517470,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
523,518003,HierDy3zhkyz9e,sub03,3,1,motor,83,img/motor_2.png,83,motor,2,13,1,0,0,,,
null,518112,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_2.png,83,motor,,,,,,,,
490,518612,HierDy3zhkyz9e,sub03,3,1,motor,83,img/motor_2.png,83,motor,2,14,1,0,0,,,
