id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline,day
sub22,10,forced,2,1,motor,1,1,0,0,1.200,1.351,0,1
sub22,10,forced,2,2,motor,8,8,0,0,1,0.860,0,1
sub22,10,forced,2,3,motor,5,5,0,0,0.800,0.610,0,1
sub22,10,forced,2,4,motor,4,4,0,0,0.400,0.530,0,1
sub22,10,forced,2,5,motor,6,6,1,1,0.500,0.464,0,1
sub22,10,forced,2,6,motor,8,8,0,0,0.900,0.675,0,1
sub22,10,forced,2,7,motor,1,1,0,0,0.700,0.473,0,1
sub22,10,forced,2,8,motor,4,4,1,1,0.600,0.529,0,1
sub22,10,forced,2,9,motor,3,3,1,1,1.100,1.001,0,1
sub22,10,forced,2,10,motor,1,1,0,0,0.100,0.243,0,1
sub22,10,forced,2,11,motor,4,4,1,1,1.100,1.044,0,1
sub22,10,forced,2,12,motor,2,2,1,1,0.800,0.750,0,1
sub22,10,forced,2,13,motor,3,3,0,0,0.200,0.372,0,1
sub22,10,forced,2,14,motor,2,2,0,0,0.600,0.447,0,1
sub22,10,forced,2,15,motor,6,5,0,1,0.300,0.388,0,1
sub22,10,forced,2,16,motor,2,2,0,0,0.700,0.599,0,1
sub22,10,forced,2,17,motor,1,1,0,0,0.300,0.462,0,1
sub22,10,forced,2,18,motor,6,6,0,0,1,0.844,0,1
sub22,10,forced,2,19,motor,3,8,0,1,0.200,0.184,0,1
sub22,10,forced,2,20,motor,8,8,1,1,0.500,0.568,0,1
sub22,10,forced,5,1,learn,2,2,0,0,1.200,2.248,0,1
sub22,10,forced,5,2,learn,7,7,0,0,1,1.417,0,1
sub22,10,forced,5,3,learn,2,2,1,1,0.800,0.874,0,1
sub22,10,forced,5,4,learn,4,1,0,0,0.400,0.517,0,1
sub22,10,forced,5,5,learn,4,4,1,1,0.500,0.440,0,1
sub22,10,forced,5,6,learn,7,2,0,1,0.900,0.851,0,1
sub22,10,forced,5,7,learn,8,7,0,0,0.700,0.804,0,1
sub22,10,forced,5,8,learn,6,7,0,1,0.600,0.582,0,1
sub22,10,forced,5,9,learn,4,4,0,0,1.100,0.998,0,1
sub22,10,forced,5,10,learn,4,3,0,1,0.100,0.200,0,1
sub22,10,forced,5,11,learn,6,6,1,1,1.100,1.184,0,1
