id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline,day
17,5,forced,2,1,motor,1,1,0,0,1.200,0.314,0,8
17,5,forced,2,2,motor,3,4,0,1,0.200,0.215,0,8
17,5,forced,2,3,motor,4,4,0,0,0.500,0.355,0,8
17,5,forced,2,4,motor,1,1,0,0,0.800,0.635,0,8
17,5,forced,2,5,motor,1,1,1,1,0.700,0.653,0,8
17,5,forced,2,6,motor,8,8,0,0,0.600,0.433,0,8
17,5,forced,2,7,motor,4,4,0,0,0.600,0.486,0,8
17,5,forced,2,8,motor,1,1,1,1,0.700,0.629,0,8
17,5,forced,2,9,motor,6,6,0,0,0.800,0.672,0,8
17,5,forced,2,10,motor,2,2,1,1,0.700,0.731,0,8
17,5,forced,2,11,motor,7,7,0,0,1.200,1.076,0,8
17,5,forced,2,12,motor,5,5,1,1,0.600,0.534,0,8
17,5,forced,2,13,motor,2,2,1,1,0.300,0.249,0,8
17,5,forced,2,14,motor,1,1,1,1,1.200,1.174,0,8
17,5,forced,2,15,motor,5,5,1,1,1.200,1.113,0,8
17,5,forced,2,16,motor,3,3,0,0,1,0.857,0,8
17,5,forced,2,17,motor,1,1,0,0,0.500,0.358,0,8
17,5,forced,2,18,motor,3,4,0,1,0.300,0.355,0,8
17,5,forced,2,19,motor,2,2,1,1,1.100,1.018,0,8
17,5,forced,2,20,motor,1,1,0,0,0.500,0.696,0,8
17,5,forced,5,1,learn,5,5,1,1,1.200,1.088,0,8
17,5,forced,5,2,learn,5,5,0,0,0.200,0.422,0,8
17,5,forced,5,3,learn,4,4,0,0,0.500,0.611,0,8
17,5,forced,5,4,learn,6,6,0,0,0.800,0.690,0,8
17,5,forced,5,5,learn,1,1,1,1,0.700,0.644,0,8
17,5,forced,5,6,learn,1,1,0,0,0.600,0.485,0,8
17,5,forced,5,7,learn,8,8,1,1,0.600,0.558,0,8
17,5,forced,5,8,learn,6,6,1,1,0.700,0.672,0,8
17,5,forced,5,9,learn,2,2,0,0,0.800,0.688,0,8
17,5,forced,5,10,learn,4,4,1,1,0.700,0.635,0,8
17,5,forced,5,11,learn,4,4,1,1,1.200,1.220,0,8
17,5,forced,5,12,learn,3,3,1,1,0.600,0.546,0,8
17,5,forced,5,13,learn,7,2,0,1,0.300,0.279,0,8
17,5,forced,5,14,learn,8,8,1,1,1.200,1.176,0,8
17,5,forced,5,15,learn,6,6,1,1,1.200,1.101,0,8
17,5,forced,5,16,learn,7,7,1,1,1,0.929,0,8
17,5,forced,5,17,learn,7,7,1,1,0.500,0.410,0,8
17,5,forced,5,18,learn,8,6,0,1,0.300,0.328,0,8
17,5,forced,5,19,learn,4,4,1,1,1.100,1.122,0,8
17,5,forced,5,20,learn,5,5,1,1,0.500,0.574,0,8
17,5,forced,5,21,learn,1,1,1,1,1.100,1.075,0,8
17,5,forced,5,22,learn,4,8,0,0,0.100,0.879,0,8
17,5,forced,5,23,learn,7,7,1,1,0.400,0.462,0,8
17,5,forced,5,24,learn,3,7,0,1,0.500,0.486,0,8
17,5,forced,5,25,learn,2,3,0,0,0.700,0.850,0,8
17,5,forced,5,26,learn,1,1,1,1,0.900,0.854,0,8
17,5,forced,5,27,learn,4,4,0,0,1.200,1.083,0,8
17,5,forced,5,28,learn,3,3,1,1,0.500,0.466,0,8
17,5,forced,5,29,learn,3,3,1,1,0.300,0.373,0,8
17,5,forced,5,30,learn,1,2,0,1,0.600,0.506,0,8
17,5,forced,5,31,learn,3,3,0,0,0.600,0.758,0,8
17,5,forced,5,32,learn,1,1,0,0,0.700,0.576,0,8
17,5,forced,5,33,learn,2,2,1,1,1,1.003,0,8
17,5,forced,5,34,learn,8,8,1,1,1,0.968,0,8
17,5,forced,5,35,learn,5,5,0,0,0.400,0.701,0,8
17,5,forced,5,36,learn,7,7,1,1,0.500,0.493,0,8
17,5,forced,5,37,learn,2,2,0,0,0.300,1.073,0,8
17,5,forced,5,38,learn,7,7,0,0,0.400,0.593,0,8
17,5,forced,5,39,learn,3,6,0,1,0.300,0.267,0,8
17,5,forced,5,40,learn,3,3,1,1,1.100,1.002,0,8
17,5,forced,5,41,learn,2,2,1,1,0.800,0.859,0,8
17,5,forced,5,42,learn,3,3,0,0,0.200,0.520,0,8
17,5,forced,5,43,learn,1,1,1,1,1.200,1.086,0,8
17,5,forced,5,44,learn,1,2,0,1,0.300,0.373,0,8
17,5,forced,5,45,learn,4,4,0,0,0.500,0.631,0,8
17,5,forced,5,46,learn,2,4,0,1,0.100,0.092,0,8
17,5,forced,5,47,learn,6,5,0,0,0.700,0.868,0,8
17,5,forced,5,48,learn,4,4,0,0,1,1.614,0,8
17,5,forced,5,49,learn,6,6,1,1,0.900,0.922,0,8
17,5,forced,5,50,learn,8,8,0,0,0.400,0.543,0,8
17,5,forced,5,51,learn,8,8,1,1,0.200,0.214,0,8
17,5,forced,5,52,learn,6,6,1,1,0.500,0.515,0,8
17,5,forced,5,53,learn,3,4,0,1,0.600,0.638,0,8
17,5,forced,5,54,learn,4,4,0,0,1.200,1.064,0,8
17,5,forced,5,55,learn,2,4,0,0,0.300,0.178,0,8
17,5,forced,5,56,learn,8,7,0,0,0.500,0.709,0,8
17,5,forced,5,57,learn,2,2,1,1,1,0.984,0,8
17,5,forced,5,58,learn,5,5,1,1,1,0.995,0,8
17,5,forced,5,59,learn,7,7,1,1,1,1.099,0,8
17,5,forced,5,60,learn,6,6,1,1,1,0.933,0,8
17,5,forced,5,61,learn,2,6,0,1,0.400,0.400,0,8
17,5,forced,5,62,learn,3,7,0,1,0.100,0.107,0,8
17,5,forced,5,63,learn,7,7,1,1,0.800,0.892,0,8
17,5,forced,5,64,learn,4,4,1,1,1,0.927,0,8
17,5,forced,5,65,learn,1,2,0,1,0.600,0.589,0,8
17,5,forced,5,66,learn,8,8,1,1,1.200,1.239,0,8
17,5,forced,5,67,learn,4,7,0,1,0.300,0.229,0,8
17,5,forced,5,68,learn,1,1,0,0,0.800,0.648,0,8
17,5,forced,5,69,learn,3,3,1,1,1,0.920,0,8
17,5,forced,5,70,learn,7,7,0,0,0.500,0.607,0,8
17,5,forced,5,71,learn,6,6,0,0,0.200,1.037,0,8
17,5,forced,5,72,learn,6,6,1,1,0.700,0.720,0,8
17,5,forced,5,73,learn,8,8,1,1,1.100,1.037,0,8
17,5,forced,5,74,learn,5,5,1,1,1,0.946,0,8
17,5,forced,5,75,learn,3,7,0,1,0.300,0.283,0,8
17,5,forced,5,76,learn,2,2,1,1,0.600,0.690,0,8
17,5,forced,5,77,learn,7,4,0,1,0.500,0.587,0,8
17,5,forced,5,78,learn,4,4,1,1,0.800,0.705,0,8
17,5,forced,5,79,learn,1,1,0,0,0.900,0.752,0,8
17,5,forced,5,80,learn,5,6,0,0,0.200,0.082,0,8
17,5,forced,5,81,learn,7,3,0,1,0.800,0.778,0,8
17,5,forced,5,82,learn,2,7,0,1,0.200,0.161,0,8
17,5,forced,5,83,learn,4,4,1,1,1.100,1.019,0,8
17,5,forced,5,84,learn,7,7,1,1,1.100,1.067,0,8
17,5,forced,5,85,learn,4,5,0,1,0.200,0.148,0,8
17,5,forced,5,86,learn,6,8,0,1,0.100,0.058,0,8
17,5,forced,5,87,learn,5,4,0,1,0.200,0.184,0,8
17,5,forced,5,88,learn,2,2,1,1,1.100,1.111,0,8
17,5,forced,5,89,learn,5,5,1,1,0.400,0.496,0,8
17,5,forced,5,90,learn,3,3,1,1,1.200,1.191,0,8
17,5,forced,5,91,learn,6,6,1,1,0.600,0.639,0,8
17,5,forced,5,92,learn,7,7,1,1,0.400,0.437,0,8
17,5,forced,5,93,learn,5,5,0,0,0.400,0.612,0,8
17,5,forced,5,94,learn,5,5,1,1,0.800,0.705,0,8
17,5,forced,5,95,learn,2,7,0,0,0.200,0.076,0,8
17,5,forced,5,96,learn,8,7,0,1,1.200,1.195,0,8
17,5,forced,6,1,learn,5,5,1,1,0.900,0.839,0,8
17,5,forced,6,2,learn,7,7,1,1,0.700,0.727,0,8
17,5,forced,6,3,learn,2,2,1,1,0.600,0.551,0,8
17,5,forced,6,4,learn,5,5,0,0,1.100,0.976,0,8
17,5,forced,6,5,learn,5,5,1,1,0.400,0.418,0,8
