"rt","time_elapsed","subject","subID","group","day","trialType","phase","key_press","stim","stimNum","corrresp","hierarchy","trialNum","corr","responses"
"1935","1938","HierDyge97xraz","sub01 ","01 ","5","","","","","","","","","",""
"","4035","HierDyge97xraz","sub01 ","01 ","5","fullscreen","","","","","","","","",""
"702.9999999999991","4738","HierDyge97xraz","sub01 ","01 ","5","","prac","","","","","","","",""
"1171.999999999999","5912","HierDyge97xraz","sub01 ","01 ","5","","","32","","","","","","",""
"836","6750","HierDyge97xraz","sub01 ","01 ","5","","prac","","","","","","","",""
"886","7639","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","1","1",""
"null","8642","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","1","",""
"686","9329","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","2","1",""
"null","10332","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","2","",""
"587","10922","HierDyge97xraz","sub01 ","01 ","5","rl","test","65","img/b_c_dots.png","1","65","color,shape,pattern","3","1",""
"null","11924","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","3","",""
"603.0000000000018","12529","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","4","1",""
"null","13531","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","4","",""
"741","14274","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","5","1",""
"null","15277","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","5","",""
"729","16008","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","6","1",""
"null","17011","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","6","",""
"967","17979","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_s_dots.png","7","75","color,shape,pattern","7","0",""
"null","18983","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","7","",""
"1100","20084","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","8","1",""
"null","21087","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","8","",""
"610","21699","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","9","1",""
"null","22702","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","9","",""
"465","23168","HierDyge97xraz","sub01 ","01 ","5","rl","test","65","img/b_c_dots.png","1","65","color,shape,pattern","10","1",""
"null","24171","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","10","",""
"665","24837","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","11","1",""
"null","25839","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","11","",""
"556","26397","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","12","1",""
"null","27400","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","12","",""
"542.0000000000036","27944","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","13","1",""
