"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"6834","{""Q0"":""msl000823""}","6879","HierDyhfwjavnb","m76sg0btrv","msl000823","","","","","","","","","","","",""
"815","","7702","HierDyhfwjavnb","m76sg0btrv","msl000823","","","","","","","","","","","",""
"","","9782","HierDyhfwjavnb","m76sg0btrv","msl000823","fullscreen","","","","","","","","","","",""
"64645","","74436","HierDyhfwjavnb","m76sg0btrv","msl000823","","","","","","","","","","","",""
"536","","74982","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_1.png","65","65","motor","1","1","1","0","0","",""
"null","","75094","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"556","","75662","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_5.png","72","72","motor","5","2","1","0","0","",""
"null","","75773","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"579","","76361","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_4.png","70","70","motor","4","3","1","0","0","",""
"null","","76473","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"593","","77074","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_6.png","74","74","motor","6","4","1","0","0","",""
"null","","77186","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"627","","77822","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_2.png","83","83","motor","2","5","1","0","0","",""
"null","","77930","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"621","","78561","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_5.png","72","72","motor","5","6","1","0","0","",""
"null","","78667","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"433","","79107","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_5.png","72","72","motor","5","7","1","0","0","",""
"null","","79215","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"561","","79781","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_8.png","76","76","motor","8","8","1","0","0","",""
"null","","79888","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"550","","80445","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_4.png","70","70","motor","4","9","1","0","0","",""
"null","","80551","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"515","","81073","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_3.png","68","68","motor","3","10","1","0","0","",""
"null","","81180","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"391","","81579","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_3.png","68","68","motor","3","11","1","0","0","",""
"null","","81686","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"573","","82266","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_7.png","75","75","motor","7","12","1","0","0","",""
"null","","82373","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"501","","82880","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_5.png","72","72","motor","5","13","1","0","0","",""
"null","","82988","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"550","","83546","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_8.png","76","76","motor","8","14","1","0","0","",""
"null","","83654","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"489","","84150","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_4.png","70","70","motor","4","15","1","0","0","",""
"null","","84257","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"503","","84768","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_3.png","68","68","motor","3","16","1","0","0","",""
"null","","84874","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"455","","85337","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_5.png","72","72","motor","5","17","1","0","0","",""
"null","","85445","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"460","","85911","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_6.png","74","74","motor","6","18","1","0","0","",""
"null","","86018","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"504","","86528","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_1.png","65","65","motor","1","19","1","0","0","",""
"null","","86635","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"513","","87154","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_6.png","75","74","motor","6","20","0","1","0","",""
"374","","87535","HierDyhfwjavnb","m76sg0btrv","msl000823","motorRepeat","img/motor_6.png","74","74","motor","6","20","1","0","0","",""
"null","","87642","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"556","","88204","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_4.png","70","70","motor","4","21","1","0","0","",""
"null","","88312","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"488","","88806","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_8.png","76","76","motor","8","22","1","0","0","",""
"null","","88913","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"640","","89562","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_2.png","83","83","motor","2","23","1","0","0","",""
"null","","89670","HierDyhfwjavnb","m76sg0btrv","msl000823","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"496","","90174","HierDyhfwjavnb","m76sg0btrv","msl000823","motor","img/motor_6.png","74","74","motor","6","24","1","0","0","",""
