"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"50244","{""Q0"":""msl000491""}","50286","HierDyfdo116xx","6yb5i1u49f","msl000491","","","","","","","","","","","",""
"2749","","53041","HierDyfdo116xx","6yb5i1u49f","msl000491","","","","","","","","","","","",""
"","","55752","HierDyfdo116xx","6yb5i1u49f","msl000491","fullscreen","","","","","","","","","","",""
"53570","","109334","HierDyfdo116xx","6yb5i1u49f","msl000491","","","","","","","","","","","",""
"1030","","110373","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_5.png","72","72","motor","5","1","1","0","0","",""
"null","","110482","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"591","","111083","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","74","74","motor","6","2","1","0","0","",""
"null","","111192","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"565","","111765","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","70","70","motor","4","3","1","0","0","",""
"null","","111876","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"501","","112386","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","68","68","motor","3","4","1","0","0","",""
"null","","112496","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"638","","113143","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","74","74","motor","6","5","1","0","0","",""
"null","","113254","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"530","","113793","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","70","70","motor","4","6","1","0","0","",""
"null","","113904","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"1575","","115487","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","70","70","motor","4","7","1","0","0","",""
"null","","115597","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"567","","116174","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","83","65","motor","1","8","0","1","0","",""
"355","","116536","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_1.png","65","65","motor","1","8","1","0","0","",""
"null","","116646","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"499","","117156","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","70","70","motor","4","9","1","0","0","",""
"null","","117266","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"533","","117809","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","83","83","motor","2","10","1","0","0","",""
"null","","117917","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"547","","118471","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","65","65","motor","1","11","1","0","0","",""
"null","","118582","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"556","","119148","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_8.png","76","76","motor","8","12","1","0","0","",""
"null","","119258","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"564","","119830","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","83","83","motor","2","13","1","0","0","",""
"null","","119940","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"567","","120515","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_5.png","72","72","motor","5","14","1","0","0","",""
"null","","120626","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"594","","121230","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","83","83","motor","2","15","1","0","0","",""
"null","","121339","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"475","","121822","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","70","70","motor","4","16","1","0","0","",""
"null","","121931","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"568","","122508","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_8.png","76","76","motor","8","17","1","0","0","",""
"null","","122618","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"447","","123074","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","65","65","motor","1","18","1","0","0","",""
"null","","123182","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"630","","123821","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_7.png","75","75","motor","7","19","1","0","0","",""
"null","","123928","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"533","","124471","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","70","70","motor","4","20","1","0","0","",""
"null","","124580","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"560","","125150","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_5.png","72","72","motor","5","21","1","0","0","",""
"null","","125258","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"546","","125814","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","83","68","motor","3","22","0","1","0","",""
"410","","126233","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_3.png","68","68","motor","3","22","1","0","0","",""
"null","","126343","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"539","","126891","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_5.png","72","72","motor","5","23","1","0","0","",""
"null","","127002","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"526","","127536","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","68","68","motor","3","24","1","0","0","",""
"null","","127647","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"593","","128249","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","83","83","motor","2","25","1","0","0","",""
"null","","128358","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"437","","128804","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","68","68","motor","3","26","1","0","0","",""
"null","","128914","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"473","","129398","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","65","65","motor","1","27","1","0","0","",""
"null","","129505","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"440","","129956","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","65","65","motor","1","28","1","0","0","",""
"null","","130065","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"533","","130607","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_5.png","72","72","motor","5","29","1","0","0","",""
