"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"22188","{""Q0"":""msl000526""}","22227","HierDye7hmugqs","t8f65p4zao","msl000526","","","","","","","","","","","",""
"1285","","23520","HierDye7hmugqs","t8f65p4zao","msl000526","","","","","","","","","","","",""
"","","25582","HierDye7hmugqs","t8f65p4zao","msl000526","fullscreen","","","","","","","","","","",""
"67961","","93554","HierDye7hmugqs","t8f65p4zao","msl000526","","","","","","","","","","","",""
"2476","","96041","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_1.png","65","65","motor","1","1","1","0","0","",""
"null","","96152","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"1116","","97276","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_7.png","75","75","motor","7","2","1","0","0","",""
"null","","97386","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"689","","98083","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_8.png","76","76","motor","8","3","1","0","0","",""
"null","","98194","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"589","","98792","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_2.png","83","83","motor","2","4","1","0","0","",""
"null","","98902","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"504","","99415","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_3.png","68","68","motor","3","5","1","0","0","",""
"null","","99524","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"467","","100002","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_2.png","83","83","motor","2","6","1","0","0","",""
"null","","100111","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"603","","100724","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_7.png","75","75","motor","7","7","1","0","0","",""
"null","","100834","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"505","","101346","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_2.png","83","83","motor","2","8","1","0","0","",""
"null","","101456","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"500","","101964","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_3.png","68","68","motor","3","9","1","0","0","",""
"null","","102073","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"456","","102537","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_7.png","75","75","motor","7","10","1","0","0","",""
"null","","102648","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"536","","103192","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_6.png","74","74","motor","6","11","1","0","0","",""
"null","","103304","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"483","","103793","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_5.png","72","72","motor","5","12","1","0","0","",""
"null","","103904","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"495","","104407","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_2.png","83","83","motor","2","13","1","0","0","",""
"null","","104516","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"615","","105139","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_6.png","74","74","motor","6","14","1","0","0","",""
