StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q5,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,EXPERIMENTER: what is this participant's consent ID?,"Thanks for participating! During the task, you learned the correct key to press for each picture that you saw. Now, we want you to assign each of these pictures to a key press. 

Take a look at the eight pictures below. Choose a key press for each picture but only use each key press once. Try to assign the key presses to each picture in a way that you think will be easiest to learn for a new participant. - 1","Thanks for participating! During the task, you learned the correct key to press for each picture that you saw. Now, we want you to assign each of these pictures to a key press. 

Take a look at the eight pictures below. Choose a key press for each picture but only use each key press once. Try to assign the key presses to each picture in a way that you think will be easiest to learn for a new participant. - 2","Thanks for participating! During the task, you learned the correct key to press for each picture that you saw. Now, we want you to assign each of these pictures to a key press. 

Take a look at the eight pictures below. Choose a key press for each picture but only use each key press once. Try to assign the key presses to each picture in a way that you think will be easiest to learn for a new participant. - 3","Thanks for participating! During the task, you learned the correct key to press for each picture that you saw. Now, we want you to assign each of these pictures to a key press. 

Take a look at the eight pictures below. Choose a key press for each picture but only use each key press once. Try to assign the key presses to each picture in a way that you think will be easiest to learn for a new participant. - 4","Thanks for participating! During the task, you learned the correct key to press for each picture that you saw. Now, we want you to assign each of these pictures to a key press. 

Take a look at the eight pictures below. Choose a key press for each picture but only use each key press once. Try to assign the key presses to each picture in a way that you think will be easiest to learn for a new participant. - 5","Thanks for participating! During the task, you learned the correct key to press for each picture that you saw. Now, we want you to assign each of these pictures to a key press. 

Take a look at the eight pictures below. Choose a key press for each picture but only use each key press once. Try to assign the key presses to each picture in a way that you think will be easiest to learn for a new participant. - 6","Thanks for participating! During the task, you learned the correct key to press for each picture that you saw. Now, we want you to assign each of these pictures to a key press. 

Take a look at the eight pictures below. Choose a key press for each picture but only use each key press once. Try to assign the key presses to each picture in a way that you think will be easiest to learn for a new participant. - 7","Thanks for participating! During the task, you learned the correct key to press for each picture that you saw. Now, we want you to assign each of these pictures to a key press. 

Take a look at the eight pictures below. Choose a key press for each picture but only use each key press once. Try to assign the key presses to each picture in a way that you think will be easiest to learn for a new participant. - 8",Write a few sentences explaining why you chose the assignments that you did.,Here are some example assignments of correct keys to pictures. Which of these assignments do you think would be easiest to learn during the task? - IM_bkDK612qbrrvPee,Here are some example assignments of correct keys to pictures. Which of these assignments do you think would be easiest to learn during the task? - IM_dp4s2Vqq96zI6F0,Here are some example assignments of correct keys to pictures. Which of these assignments do you think would be easiest to learn during the task? - IM_bjCyajwT5E1mkke,Here are some example assignments of correct keys to pictures. Which of these assignments do you think would be easiest to learn during the task? - IM_eaeN6gygQJarhwG,Here are some example assignments of correct keys to pictures. Which of these assignments do you think would be easiest to learn during the task? - IM_01a1G6gECY8i8SO,Here are some example assignments of correct keys to pictures. Which of these assignments do you think would be easiest to learn during the task? - IM_3ITpZGoZnO4Y086,Here are some example assignments of correct keys to pictures. Which of these assignments do you think would be easiest to learn during the task? - IM_9YVAK7oUG3EzeiW,Here are some example assignments of correct keys to pictures. Which of these assignments do you think would be easiest to learn during the task? - IM_3wPiTtFWZql6nsi,Why did you choose the assignment you ranked first to be the easiest to learn?,Why did you choose the assignment you ranked last to be the hardest to learn?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}"
2/21/24 7:46,2/21/24 7:55,IP Address,130.132.173.254,100,534,TRUE,2/21/24 7:55,R_5MLP3by6PAz5Bqf,,,,,41.3186,-72.9302,anonymous,EN,msl001742,J,K,A,D,L,F,H,S,"From taking the experiment I was able to remember which key belonged to which picture, so I choose the keys that corresponded to the correct pictures as taught to me. ",6,1,5,2,3,4,8,7,"Because it is easier to remember things if you chunk them. By placing them in pairs based on their shape and pattern, you can easily predict what pattern/shape comes next. Plus mismatching of the colors creates another predictable pattern that's easier to remember rather than randomization.","Because it seems the most randomized in terms of which pictures are placed next to each other, making it the hardest to memorize since there's no predictable patterns. "
2/21/24 8:34,2/21/24 8:37,IP Address,130.132.173.254,100,194,TRUE,2/21/24 8:37,R_5reFkMxparQCQkF,,,,,41.3186,-72.9302,anonymous,EN,msl001743,K,J,F,S,L,H,D,A,Squares on one side circles on the other,7,1,4,6,3,2,8,5,1,No obvious pattern
2/21/24 9:36,2/21/24 9:42,IP Address,130.132.173.254,100,388,TRUE,2/21/24 9:42,R_7sh0WQv9K4bf7Tq,,,,,41.3186,-72.9302,anonymous,EN,msl001744,D,A,F,S,J,L,H,K,"I made it so that there are a lot of patterns: red on left hand, purple on right hand; symmetry of shape and dot/stripe. Also I made it go circle, square, circle, square so you aren't tripped up by having same shapes next to each other.",3,6,2,1,4,5,8,7,It's the same order on each hand and one color is assigned to each hand.,There is no pattern.
2/21/24 10:28,2/21/24 10:33,IP Address,130.132.173.254,100,348,TRUE,2/21/24 10:33,R_7RDhIy5JmmHtpxn,,,,,41.3186,-72.9302,anonymous,EN,msl001745,J,K,A,D,L,F,H,S,I chose based what I learned from the experiment.,3,7,5,2,1,4,8,6,It would be easier if the same colors were on the same side and the  shapes alternated.,It would be difficult if both the colors and shapes did not alternate because there is no pattern in this assignment 
2/21/24 12:33,2/21/24 12:39,IP Address,130.132.173.254,100,352,TRUE,2/21/24 12:39,R_6uOnCfrPkBwsgti,,,,,41.3186,-72.9302,anonymous,EN,msl001746,H,K,J,L,F,S,D,A,"I think the colors really stand out, so it'll be easiest to distinguish the left hand for one color (i.e., purple) and the right hand for the other. Then, I decided to do square, box, square, box mirrored from the left hand to the right hand and alternate and dots and stripes as well.",4,6,2,1,3,5,7,8,"As I mentioned in the previous response, I think color coding one hand for each color is the easiest, then having the stripes and dots be next in a pattern because that is what I noticed the most secondly.",There is no clear color pattern and the stripes and dots don't have a clear pattern as well. 
2/22/24 7:04,2/22/24 8:32,IP Address,130.132.173.254,100,5305,TRUE,2/22/24 8:32,R_6Ei2v12Uk12c8Mp,,,,,41.3186,-72.9302,anonymous,EN,msl001747,H,L,K,J,D,A,S,F,I picked all the same colors to be on the same side of key sets because that makes it easier to remember which keys go with what features that stand out like the shape color. I alternated the circles and squares because the difference in those shapes makes it easier to remember which letter corresponds to that shape and there's a pattern of one circle and square and so on. ,3,7,2,1,5,6,4,8,Because the main shape colors are grouped and it's easier to pick up on that pattern and the inside shapes/designs are grouped in pairs which helps to remember them,"Because there is no clear pattern in the colors, main shape, and inner shapes/designs of the images"
2/22/24 8:50,2/22/24 9:44,IP Address,130.132.173.254,100,3212,TRUE,2/22/24 9:44,R_5j6RBqm33nPmL4f,,,,,41.3186,-72.9302,anonymous,EN,msl001748,D,A,J,K,F,S,H,L,I tried to put similar patterns next to each other because I feel that that would make it easier to quickly associate them with a certain area of the keyboard. I alternated colors so that it would still be easy for the participant to make a clear distinction between the images that are associated with keys directly next to each other. ,6,4,5,3,1,2,8,7,"The first assignment follows a more easily predictable sequence, and I like that similar patterns are grouped next to each other. ","The last assignment seems very random, and the images do not appear to have much relation to those around them."
2/22/24 9:48,2/22/24 10:52,IP Address,130.132.173.254,100,3851,TRUE,2/22/24 10:52,R_5Q9GA5j7g8wsVwt,,,,,41.3186,-72.9302,anonymous,EN,msl001749,A,D,H,K,S,F,J,L,"I first chose to split the circles on the left side of the keyboard and the rectangles on the right side of the keyboard (as c (standing for circle) comes first in the alphabet), so the participant can instantly tell which side of the keyboard they should be pressing based on looking at the overall shape. If I chose to split according to color, I thought the participant would be more prone to getting the images mixed up as they look relatively similar.
I then split the 4 images on either side into a pair consisting of images with the same shape and the same pattern, just different colors. Across the pairs, I alternated the color (the only different factor), orange coming before purple each time, as orange precedes purple in the alphabet.

This is what my final configuration looks like:
Orange circle dots
Purple circle dots
Orange circle lines
Purple circle lines

Orange rectangle dots
Purple rectangle dots
Orange rectangle lines
Purple rectangle lines



",2,1,5,3,4,6,7,8,"I think 3 would be the easiest to learn, as it pretty much follows the logic I laid out in the question before - to get all the images of the same shape onto the same side, then to pair them based on their pattern, and alternate colors, with blue coming before red in every pair (b standing for blue comes first in the alphabet).",7 because there isn't any sense of pattern (especially in the overarching shape and its color which are the first things arguably we would look at) that would be easy to process and learn
